Date,Open_TSO,High_TSO,Low_TSO,Close_TSO,Volume_TSO,AdjClose_TSO
2014-10-17,60.389999,61.09,59.360001,60.380001,2555200,58.245073
2014-10-20,60.849998,65.709999,60.849998,65.43,6355800,63.116514
2014-10-21,65.940002,67.110001,65.389999,67.050003,4261600,64.679236
2014-10-22,67.089996,68.260002,64.800003,64.889999,3064200,62.595606
2014-10-23,65.889999,66.470001,64.610001,65.290001,3158000,62.981465
2014-10-24,65.309998,66.029999,64.449997,65.68,1770100,63.357674
2014-10-27,65.190002,66.239998,64.550003,65.830002,2750000,63.502372
2014-10-28,66.040001,67.809998,65.269997,67.440002,2895900,65.055446
2014-10-29,68.050003,68.559998,66.029999,66.949997,2466600,64.582766
2014-10-30,67.010002,68.989998,66.709999,68.099998,3840500,65.692106
2014-10-31,71.040001,73.0,69.940002,71.410004,6838400,68.885075
2014-11-03,71.959999,75.0,71.629997,73.290001,7307500,70.698599
2014-11-04,72.660004,73.639999,71.639999,72.949997,3126100,70.370617
2014-11-05,73.540001,73.540001,71.32,72.419998,3961500,69.859358
2014-11-06,72.910004,73.239998,71.800003,72.720001,3512300,70.148754
2014-11-07,72.620003,73.449997,71.68,71.949997,3841100,69.405975
2014-11-10,72.389999,72.800003,71.150002,71.43,4436200,68.904365
2014-11-11,71.57,72.889999,70.559998,72.720001,2389900,70.148754
2014-11-12,72.580002,73.529999,72.300003,72.839996,3137100,70.264506
2014-11-13,72.639999,72.660004,70.07,70.989998,3813400,68.47992
2014-11-14,71.760002,72.82,71.260002,72.080002,2770100,69.531383
2014-11-17,71.989998,73.169998,71.669998,72.370003,2462200,69.81113
2014-11-18,72.690002,74.800003,72.099998,72.959999,4876100,70.380266
2014-11-19,72.919998,74.769997,72.419998,74.57,2411100,71.933339
2014-11-20,74.269997,75.989998,74.269997,75.690002,2826400,73.013741
2014-11-21,76.790001,79.489998,76.440002,77.730003,3857900,74.981611
2014-11-24,77.480003,78.379997,77.050003,77.839996,1992300,75.087715
2014-11-25,78.029999,78.82,77.449997,78.550003,2290300,76.065782
2014-11-26,78.239998,79.0,77.800003,78.349998,2204400,75.872103
2014-11-28,76.449997,77.660004,75.459999,76.620003,1864600,74.19682
2014-12-01,76.629997,77.68,74.379997,75.309998,4347900,72.928245
2014-12-02,74.980003,77.580002,74.790001,76.849998,3132900,74.419541
2014-12-03,77.230003,77.970001,76.5,76.82,3029900,74.390491
2014-12-04,76.82,78.330002,75.800003,78.07,2491000,75.600959
2014-12-05,77.959999,79.050003,75.959999,76.150002,2546500,73.741683
2014-12-08,76.0,76.589996,73.029999,73.43,4914800,71.107704
2014-12-09,73.040001,77.290001,72.0,76.93,5027400,74.497013
2014-12-10,76.0,77.5,73.75,74.360001,4286300,72.008292
2014-12-11,74.82,76.269997,74.040001,74.269997,1744800,71.921135
2014-12-12,73.209999,75.650002,72.519997,74.410004,2509600,72.056714
2014-12-15,74.970001,76.410004,74.440002,75.449997,2685300,73.063816
2014-12-16,74.449997,76.620003,73.0,74.209999,2774500,71.863035
2014-12-17,74.620003,74.82,73.0,74.529999,4546800,72.172914
2014-12-18,76.010002,76.349998,69.050003,71.379997,7255600,69.122534
2014-12-19,71.769997,73.360001,70.910004,72.0,4494700,69.722929
2014-12-22,71.82,72.900002,71.040001,72.25,2587100,69.965023
2014-12-23,73.099998,73.82,72.519997,73.519997,1616400,71.194854
2014-12-24,73.57,75.160004,73.220001,74.599998,993500,72.2407
2014-12-26,75.089996,75.739998,74.540001,75.269997,968500,72.889509
2014-12-29,75.760002,77.019997,75.040001,75.610001,1576500,73.21876
2014-12-30,75.389999,76.580002,74.910004,75.389999,1351400,73.005716
2014-12-31,75.169998,76.050003,74.239998,74.349998,1531100,71.998606
2015-01-02,74.610001,75.599998,74.0,75.5,1769500,73.112238
2015-01-05,74.970001,75.059998,71.879997,72.059998,2378800,69.781029
2015-01-06,72.629997,73.230003,70.629997,71.809998,3177200,69.538936
2015-01-07,72.669998,73.879997,70.5,70.610001,3654600,68.37689
2015-01-08,71.550003,74.410004,71.120003,74.269997,4010200,71.921135
2015-01-09,74.110001,74.339996,72.220001,72.860001,2134300,70.555731
2015-01-12,72.309998,72.309998,69.470001,70.0,2854600,67.786181
2015-01-13,70.739998,70.879997,65.900002,66.669998,4757400,64.561494
2015-01-14,66.260002,67.150002,64.160004,66.739998,5979400,64.62928
2015-01-15,66.739998,68.540001,65.139999,67.970001,5968700,65.820383
