Date,Open_CHD,High_CHD,Low_CHD,Close_CHD,Volume_CHD,AdjClose_CHD
2016-04-27,92.290001,92.589996,91.449997,92.290001,339000,91.951293
2016-04-28,91.889999,93.370003,91.339996,92.779999,394900,92.439493
2016-04-29,92.279999,92.82,91.860001,92.699997,540400,92.359785
2016-05-02,92.699997,93.690002,92.440002,93.489998,468800,93.146886
2016-05-03,93.419998,94.459999,93.010002,93.650002,953400,93.306303
2016-05-04,93.190002,93.989998,93.040001,93.889999,695400,93.54542
2016-05-05,93.970001,96.059998,93.900002,95.120003,842100,94.770909
2016-05-06,95.260002,96.940002,94.800003,96.839996,864200,96.48459
2016-05-09,96.989998,97.889999,96.660004,97.080002,839100,96.723715
2016-05-10,97.150002,98.050003,97.150002,97.93,1014200,97.570594
2016-05-11,97.730003,97.919998,96.0,96.730003,592300,96.375001
2016-05-12,96.860001,97.459999,96.220001,97.370003,523100,97.370003
2016-05-13,97.389999,97.389999,96.150002,96.550003,476500,96.550003
2016-05-16,96.57,96.970001,96.029999,96.459999,803500,96.459999
2016-05-17,96.459999,96.790001,95.150002,95.589996,1199200,95.589996
2016-05-18,98.699997,99.25,96.300003,96.980003,2266500,96.980003
2016-05-19,107.0,107.360001,96.830002,99.089996,4585300,99.089996
2016-05-20,99.089996,99.610001,96.43,96.480003,1871200,96.480003
2016-05-23,96.860001,98.239998,96.269997,97.760002,997300,97.760002
2016-05-24,98.220001,98.519997,97.580002,97.889999,984100,97.889999
2016-05-25,97.720001,97.980003,96.949997,97.349998,741000,97.349998
2016-05-26,97.379997,98.220001,97.269997,98.190002,495900,98.190002
2016-05-27,98.209999,98.699997,97.639999,98.169998,573800,98.169998
2016-05-31,98.25,98.959999,97.849998,98.480003,1044300,98.480003
2016-06-01,98.410004,99.330002,98.18,98.940002,673200,98.940002
2016-06-02,98.949997,99.260002,98.25,99.230003,555600,99.230003
2016-06-03,99.199997,99.580002,98.540001,98.879997,656400,98.879997
