Date,Open_SIG,High_SIG,Low_SIG,Close_SIG,Volume_SIG,AdjClose_SIG
2015-11-20,140.860001,141.940002,137.139999,137.600006,1783600,137.024565
2015-11-23,137.809998,141.979996,137.610001,140.649994,2062100,140.061798
2015-11-24,135.449997,137.800003,131.710007,134.889999,4604400,134.325892
2015-11-25,134.559998,136.759995,134.5,135.389999,861500,134.823801
2015-11-27,135.279999,135.830002,132.139999,133.039993,499200,132.483623
2015-11-30,132.679993,133.0,129.550003,131.389999,1351600,130.840529
2015-12-01,132.179993,132.690002,128.509995,131.039993,3270700,130.491987
2015-12-02,130.75,132.520004,128.860001,129.440002,1253800,128.898687
2015-12-03,129.899994,130.839996,127.199997,127.959999,1379700,127.424873
2015-12-04,128.210007,130.660004,127.029999,130.029999,1094300,129.486216
2015-12-07,129.520004,130.350006,126.650002,127.480003,1421700,126.946884
2015-12-08,126.349998,127.459999,124.279999,124.870003,1302700,124.347799
2015-12-09,124.0,125.489998,119.889999,121.029999,2256300,120.523854
2015-12-10,121.370003,123.190002,119.959999,121.449997,1536000,120.942095
2015-12-11,120.540001,121.309998,116.620003,117.349998,1811300,116.859243
2015-12-14,116.800003,117.599998,115.129997,116.790001,1325900,116.301587
2015-12-15,117.68,117.889999,115.800003,116.989998,1345900,116.500748
2015-12-16,117.970001,119.599998,115.870003,117.0,1326200,116.510708
2015-12-17,117.059998,117.739998,116.32,116.419998,1027200,115.933132
2015-12-18,115.529999,117.0,114.879997,114.970001,1118600,114.489199
2015-12-21,115.239998,118.650002,114.769997,117.470001,1198600,116.978744
2015-12-22,117.68,121.75,116.010002,120.720001,1630200,120.215152
2015-12-23,121.419998,123.68,121.18,121.889999,1137000,121.380258
2015-12-24,121.120003,121.120003,118.970001,119.639999,506100,119.139667
2015-12-28,120.010002,121.910004,119.669998,120.889999,1244100,120.38444
2015-12-29,121.580002,122.790001,121.220001,121.919998,922000,121.410131
2015-12-30,121.699997,122.18,120.309998,121.769997,762100,121.260757
2015-12-31,121.580002,125.580002,121.209999,123.690002,1711600,123.172733
2016-01-04,121.910004,125.519997,121.360001,124.830002,2173400,124.307965
2016-01-05,125.230003,127.059998,122.389999,125.580002,1779300,125.054829
2016-01-06,124.099998,127.900002,123.690002,127.309998,2765300,126.77759
2016-01-07,128.0,135.589996,127.610001,133.279999,3500800,132.722624
2016-01-08,133.720001,135.229996,125.720001,126.93,2834900,126.399181
2016-01-11,127.260002,127.800003,124.400002,126.18,1866900,125.652318
2016-01-12,127.5,129.649994,124.459999,126.949997,998600,126.419094
2016-01-13,127.5,127.93,123.769997,124.019997,1197800,123.501347
2016-01-14,124.260002,125.739998,121.5,124.5,1576500,123.979343
2016-01-15,121.589996,124.110001,118.739998,121.519997,1755900,121.011802
2016-01-19,122.160004,125.360001,120.309998,122.209999,1300500,121.698919
2016-01-20,120.870003,122.07,116.489998,120.639999,1126500,120.135485
2016-01-21,120.980003,122.32,118.459999,119.529999,1272300,119.030127
2016-01-22,120.860001,123.339996,120.150002,122.540001,776300,122.027541
2016-01-25,122.400002,122.400002,117.900002,118.709999,950400,118.213556
2016-01-26,119.0,119.720001,116.739998,118.599998,1099100,118.104016
2016-01-27,119.019997,119.919998,117.239998,118.620003,973100,118.123936
2016-01-28,119.0,119.0,112.57,113.389999,1941900,113.125618
2016-01-29,114.360001,116.349998,110.139999,116.0,1925100,115.729533
2016-02-01,115.720001,120.860001,114.760002,120.620003,1618700,120.338763
2016-02-02,119.150002,120.510002,114.370003,115.190002,1474500,114.921424
2016-02-03,115.769997,116.239998,109.129997,111.330002,2394900,111.070423
2016-02-04,111.089996,111.980003,108.589996,109.82,1449900,109.563942
2016-02-05,109.230003,109.970001,103.32,105.18,2718100,104.934761
2016-02-08,104.669998,105.75,98.150002,100.440002,2062300,100.205815
2016-02-09,99.699997,101.160004,94.010002,96.279999,2489800,96.055511
2016-02-10,97.059998,99.5,96.150002,96.910004,1725500,96.684047
2016-02-11,95.0,96.57,93.449997,94.709999,1460100,94.489172
2016-02-12,95.510002,99.040001,94.360001,98.629997,1131400,98.40003
2016-02-16,100.099998,105.480003,100.0,104.150002,1916200,103.907164
2016-02-17,105.309998,107.57,103.32,105.370003,1799000,105.124321
2016-02-18,103.300003,104.959999,102.059998,103.93,1504400,103.687676
2016-02-19,104.160004,105.800003,102.279999,103.82,1132400,103.577931
2016-02-22,104.050003,104.5,102.470001,103.040001,1276600,102.799751
2016-02-23,102.830002,103.0,98.75,100.169998,2224500,99.93644
2016-02-24,98.260002,98.32,95.879997,97.970001,3060900,97.741573
2016-02-25,98.010002,99.610001,96.050003,97.169998,1585300,96.943435
2016-02-26,98.019997,100.370003,96.769997,99.129997,1588800,98.898864
2016-02-29,109.0,112.489998,108.0,108.400002,6490600,108.147255
2016-03-01,110.57,112.949997,109.769997,112.459999,2216800,112.197786
2016-03-02,112.260002,115.400002,111.379997,112.959999,1629500,112.69662
2016-03-03,111.93,114.779999,111.0,112.0,2319900,111.738859
2016-03-04,112.309998,113.489998,111.330002,111.860001,1247900,111.599186
2016-03-07,111.309998,113.089996,111.309998,112.160004,1215600,111.89849
2016-03-08,111.489998,112.150002,107.489998,109.010002,1158000,108.755833
2016-03-09,110.0,110.919998,106.300003,108.089996,1369500,107.837972
2016-03-10,109.510002,111.370003,107.739998,109.650002,966900,109.39434
2016-03-11,110.239998,112.480003,109.919998,111.209999,970700,110.9507
2016-03-14,110.639999,112.5,110.389999,111.949997,1461300,111.688973
2016-03-15,111.260002,111.889999,110.300003,111.550003,936400,111.289911
2016-03-16,111.419998,114.669998,111.419998,113.519997,1151100,113.255312
2016-03-17,113.5,116.879997,113.150002,116.050003,1367600,115.779419
2016-03-18,116.82,118.800003,115.650002,117.43,1577300,117.156199
2016-03-21,117.269997,118.190002,116.220001,118.029999,1015900,117.754798
2016-03-22,116.919998,119.040001,116.529999,118.290001,1008100,118.014194
2016-03-23,118.290001,118.940002,115.709999,118.010002,1402400,117.734848
2016-03-24,124.760002,125.449997,120.040001,121.419998,3463400,121.136894
2016-03-28,121.699997,123.669998,120.809998,122.75,1442700,122.463794
2016-03-29,122.849998,123.830002,121.650002,122.910004,1166000,122.623425
2016-03-30,123.050003,123.800003,119.629997,119.68,1898200,119.400953
2016-03-31,120.800003,124.099998,120.290001,124.029999,1202300,123.740809
2016-04-01,123.0,124.849998,122.510002,123.970001,1484600,123.680951
2016-04-04,124.0,124.089996,120.800003,121.029999,881700,120.747803
