Date,Open_TROW,High_TROW,Low_TROW,Close_TROW,Volume_TROW,AdjClose_TROW
2014-10-31,82.129997,82.190002,81.370003,82.089996,1597300,76.346633
2014-11-03,81.699997,82.739998,81.510002,82.18,1449800,76.43034
2014-11-04,81.989998,83.0,81.82,82.900002,1259300,77.099967
2014-11-05,82.760002,83.330002,82.440002,83.099998,1395000,77.285971
2014-11-06,81.639999,82.529999,81.599998,82.449997,4266100,76.681446
2014-11-07,82.120003,83.480003,81.849998,83.230003,1687900,77.40688
2014-11-10,83.389999,83.650002,82.5,83.0,1540100,77.192969
2014-11-11,82.900002,83.25,82.629997,83.169998,919600,77.351073
2014-11-12,82.959999,83.110001,82.379997,82.709999,1561200,76.923258
2014-11-13,82.82,83.040001,82.099998,82.669998,984000,76.886055
2014-11-14,82.739998,82.82,81.93,82.120003,749900,76.37454
2014-11-17,82.029999,82.120003,81.550003,81.849998,925000,76.123426
2014-11-18,81.860001,82.449997,81.860001,82.019997,925400,76.281531
2014-11-19,82.080002,82.230003,81.32,82.019997,769800,76.281531
2014-11-20,81.510002,82.32,81.339996,82.029999,714300,76.290833
2014-11-21,83.0,83.169998,82.480003,82.849998,1157000,77.053462
2014-11-24,83.25,83.360001,82.830002,83.279999,756300,77.453378
2014-11-25,83.230003,84.0,83.059998,83.25,882100,77.425478
2014-11-26,83.300003,83.5,82.870003,83.110001,792400,77.295273
2014-11-28,83.790001,84.0,83.260002,83.470001,403800,77.630087
2014-12-01,83.029999,83.730003,82.18,82.610001,753100,76.830256
2014-12-02,82.779999,83.419998,80.550003,83.25,853800,77.425478
2014-12-03,83.160004,83.879997,83.059998,83.739998,943800,77.881193
2014-12-04,83.589996,83.849998,83.120003,83.650002,756600,77.797494
2014-12-05,83.910004,84.879997,83.910004,84.489998,1105200,78.57872
2014-12-08,84.32,85.449997,83.949997,84.800003,896400,78.867036
2014-12-09,83.650002,84.760002,83.440002,84.730003,692100,78.801934
2014-12-10,84.550003,84.830002,83.800003,83.949997,1292700,78.0765
2014-12-11,84.5,85.160004,84.080002,84.209999,1821200,78.318311
2014-12-12,83.510002,83.510002,81.970001,82.0,2027900,76.6635
2014-12-15,81.260002,84.169998,81.260002,82.419998,1833400,77.056165
2014-12-16,81.93,83.209999,81.43,81.599998,1976700,76.28953
2014-12-17,82.150002,84.18,81.720001,84.0,1710000,78.533341
2014-12-18,85.25,86.400002,84.690002,86.389999,1977200,80.767801
2014-12-19,86.760002,87.300003,86.440002,86.720001,2387300,81.076327
2014-12-22,87.040001,87.449997,86.540001,87.220001,987400,81.543787
2014-12-23,87.650002,88.529999,87.220001,87.589996,1103300,81.889703
2014-12-24,87.580002,87.870003,87.199997,87.339996,417500,81.655973
2014-12-26,87.849998,87.919998,87.160004,87.190002,561400,81.515741
2014-12-29,86.800003,87.879997,86.699997,87.260002,617600,81.581185
2014-12-30,87.080002,88.639999,86.330002,86.910004,645300,81.253964
2014-12-31,87.139999,87.489998,85.82,85.860001,977200,80.272294
2015-01-02,86.599998,87.220001,85.110001,85.760002,999700,80.178804
2015-01-05,85.050003,85.400002,83.489998,83.790001,1173000,78.337009
2015-01-06,84.389999,84.690002,81.720001,82.309998,2012700,76.953323
2015-01-07,82.470001,83.610001,82.18,83.519997,1267100,78.084576
2015-01-08,84.129997,84.639999,83.809998,84.510002,1221000,79.010153
2015-01-09,84.57,84.800003,83.209999,83.870003,956000,78.411804
2015-01-12,84.129997,84.129997,82.32,82.93,966000,77.532976
2015-01-13,83.959999,84.839996,82.5,83.059998,1610400,77.654513
2015-01-14,82.339996,82.639999,80.879997,81.769997,1567000,76.448465
2015-01-15,81.769997,82.190002,80.739998,81.029999,1251800,75.756625
2015-01-16,80.209999,81.529999,79.199997,81.5,2072200,76.196039
2015-01-20,81.93,82.239998,80.660004,81.360001,1446900,76.065151
2015-01-21,80.889999,82.169998,80.029999,81.209999,2029000,75.924911
2015-01-22,81.809998,83.599998,81.0,83.160004,2198900,77.748011
2015-01-23,83.239998,83.690002,82.089996,82.169998,1290000,76.822435
2015-01-26,85.220001,85.220001,81.309998,82.919998,1142800,77.523625
2015-01-27,82.029999,82.610001,81.139999,81.970001,1343800,76.635453
2015-01-28,80.970001,80.989998,79.199997,79.230003,2831700,74.073772
2015-01-29,78.989998,79.800003,77.959999,79.190002,2354500,74.036375
2015-01-30,78.199997,79.82,78.0,78.720001,2856200,73.596961
2015-02-02,78.879997,80.160004,78.610001,80.010002,1905800,74.803009
2015-02-03,80.610001,81.279999,79.080002,81.25,1569900,75.962309
2015-02-04,81.080002,81.75,80.489998,81.059998,1116900,75.784672
2015-02-05,81.559998,82.190002,81.139999,81.75,1158600,76.42977
2015-02-06,82.150002,83.029999,81.900002,82.309998,1671900,76.953323
2015-02-09,82.150002,82.150002,81.300003,81.449997,1730100,76.14929
2015-02-10,82.199997,82.550003,81.339996,82.220001,1107000,76.869183
2015-02-11,82.010002,82.379997,81.75,82.099998,1494400,76.75699
2015-02-12,82.220001,82.639999,81.82,82.279999,1451300,76.925276
