Date,Open_XEC,High_XEC,Low_XEC,Close_XEC,Volume_XEC,AdjClose_XEC
2016-04-22,107.160004,109.489998,106.860001,108.779999,1216400,108.703114
2016-04-25,107.989998,109.480003,105.339996,106.190002,958400,106.114948
2016-04-26,107.580002,111.849998,107.019997,111.260002,1331000,111.181364
2016-04-27,112.769997,115.690002,111.220001,112.57,1176000,112.490436
2016-04-28,111.599998,113.650002,109.519997,109.82,798300,109.74238
2016-04-29,110.25,111.860001,106.919998,108.879997,1140500,108.803042
2016-05-02,108.739998,112.330002,107.410004,110.349998,1438500,110.272004
2016-05-03,108.099998,108.739998,104.050003,105.370003,1107800,105.295528
2016-05-04,105.93,107.010002,102.910004,106.150002,1747100,106.074976
2016-05-05,109.589996,113.870003,106.830002,113.68,2452600,113.599652
2016-05-06,112.970001,114.010002,109.93,110.190002,1409200,110.112121
2016-05-09,109.540001,111.099998,106.849998,110.459999,1094900,110.381927
2016-05-10,111.120003,113.349998,110.199997,113.190002,791600,113.110001
2016-05-11,112.940002,116.0,111.949997,114.449997,843400,114.449997
2016-05-12,115.970001,117.660004,113.849998,115.339996,770200,115.339996
2016-05-13,114.849998,115.790001,113.669998,113.970001,504600,113.970001
2016-05-16,116.330002,118.980003,115.980003,116.43,1028300,116.43
2016-05-17,116.510002,117.830002,115.07,116.330002,893200,116.330002
2016-05-18,115.870003,118.099998,115.0,116.120003,736200,116.120003
2016-05-19,114.209999,115.739998,112.809998,115.419998,1069000,115.419998
2016-05-20,116.25,117.739998,114.419998,117.339996,612200,117.339996
2016-05-23,115.769997,117.879997,115.059998,117.269997,629600,117.269997
2016-05-24,118.32,118.419998,116.5,117.519997,828800,117.519997
2016-05-25,118.989998,119.599998,117.099998,118.389999,1104900,118.389999
2016-05-26,119.800003,120.440002,118.139999,118.540001,901200,118.540001
2016-05-27,117.739998,117.93,115.580002,117.849998,847300,117.849998
2016-05-31,118.550003,119.199997,115.699997,116.279999,1153300,116.279999
2016-06-01,116.279999,116.330002,114.5,115.889999,798700,115.889999
2016-06-02,114.529999,117.279999,113.800003,117.230003,885300,117.230003
2016-06-03,117.419998,117.870003,115.32,115.919998,557000,115.919998
