Date,Open_KSS,High_KSS,Low_KSS,Close_KSS,Volume_KSS,AdjClose_KSS
2015-11-25,48.470001,48.93,48.150002,48.5,2688400,47.540107
2015-11-27,48.82,49.0,47.66,48.07,1315800,47.118617
2015-11-30,48.220001,48.439999,46.57,47.130001,4785800,46.197223
2015-12-01,47.27,47.91,46.950001,47.220001,3636700,46.285442
2015-12-02,47.419998,47.720001,46.18,46.419998,3128800,45.501272
2015-12-03,46.619999,47.419998,45.91,47.389999,5760200,46.452075
2015-12-04,47.18,48.119999,46.860001,48.080002,4279000,47.128422
2015-12-07,47.360001,47.77,46.650002,47.450001,4103800,46.950316
2015-12-08,46.900002,47.849998,46.77,47.200001,2929000,46.702948
2015-12-09,46.860001,47.990002,46.599998,47.130001,2547600,46.633686
2015-12-10,47.450001,48.669998,47.310001,48.18,4576000,47.672628
2015-12-11,47.709999,48.049999,46.09,46.240002,4618500,45.753059
2015-12-14,46.419998,47.900002,46.32,46.759998,4301800,46.26758
2015-12-15,46.869999,47.639999,46.09,46.209999,3919300,45.723372
2015-12-16,46.419998,47.16,45.32,45.970001,4248500,45.485902
2015-12-17,46.099998,46.189999,44.060001,44.450001,4146500,43.981908
2015-12-18,44.25,44.880001,44.060001,44.41,7588400,43.942328
2015-12-21,45.02,45.790001,44.310001,45.709999,4544900,45.228638
2015-12-22,45.919998,47.360001,45.650002,47.07,2890700,46.574316
2015-12-23,47.240002,47.939999,46.98,47.400002,1902900,46.900843
2015-12-24,47.290001,47.709999,47.099998,47.130001,1050400,46.633686
2015-12-28,46.830002,47.369999,46.59,47.240002,2319200,46.742528
2015-12-29,47.650002,49.529999,47.639999,48.810001,3381600,48.295994
2015-12-30,48.669998,49.330002,48.209999,48.389999,2616600,47.880415
2015-12-31,48.16,48.77,47.619999,47.630001,1874200,47.12842
2016-01-04,46.91,49.560001,46.349998,49.549999,5207100,49.0282
2016-01-05,49.740002,50.23,49.349998,49.779999,5212000,49.255777
2016-01-06,49.02,50.18,48.91,50.049999,4830100,49.522934
2016-01-07,49.400002,52.060001,49.25,50.860001,7691600,50.324406
2016-01-08,50.82,51.299999,47.549999,47.880001,6493700,47.375788
2016-01-11,49.290001,50.75,48.41,50.080002,9715200,49.552621
2016-01-12,50.389999,51.630001,49.439999,50.23,4542700,49.701039
2016-01-13,49.48,50.709999,48.900002,49.98,3879200,49.453672
2016-01-14,50.080002,50.549999,48.709999,49.200001,4464000,48.681887
2016-01-15,48.169998,48.560001,47.259998,48.150002,3712400,47.642945
2016-01-19,48.66,48.66,45.959999,46.380001,4562800,45.891584
2016-01-20,45.439999,45.950001,44.189999,45.650002,3993100,45.169272
2016-01-21,45.740002,47.48,45.459999,46.990002,2807400,46.495161
2016-01-22,47.16,48.220001,47.16,48.16,2278200,47.652838
2016-01-25,48.189999,48.369999,47.23,47.360001,1943800,46.861263
2016-01-26,47.560001,48.98,47.34,48.59,2125000,48.07831
2016-01-27,48.619999,49.709999,48.459999,48.709999,2937600,48.197045
2016-01-28,48.98,49.09,47.189999,47.990002,2985400,47.48463
2016-01-29,48.400002,49.880001,48.09,49.75,2644200,49.226094
2016-02-01,49.07,49.400002,47.41,49.080002,4462800,48.563152
2016-02-02,49.68,50.560001,48.849998,50.380001,5546600,49.849461
2016-02-03,50.470001,51.389999,49.259998,51.130001,3346300,50.591563
2016-02-04,51.130001,51.130001,40.950001,41.52,22573600,41.082763
2016-02-05,41.029999,42.880001,40.939999,42.060001,6693200,41.617077
2016-02-08,41.509998,43.799999,41.48,42.610001,5216300,42.161285
2016-02-09,42.34,42.990002,41.110001,41.400002,3555800,40.964028
2016-02-10,41.490002,41.529999,39.439999,40.09,4275900,39.667822
2016-02-11,39.720001,40.5,39.23,39.689999,2284100,39.272032
2016-02-12,39.91,40.880001,39.450001,40.810001,1967800,40.380241
2016-02-16,41.52,42.82,41.189999,42.619999,2526600,42.171178
2016-02-17,42.82,44.130001,42.599998,43.900002,3344100,43.437701
2016-02-18,43.84,45.029999,43.209999,44.82,3053300,44.348011
2016-02-19,44.290001,44.860001,43.34,44.380001,2591900,43.912645
2016-02-22,44.470001,45.5,44.470001,44.950001,2416500,44.476643
2016-02-23,45.349998,45.490002,44.73,44.939999,2514200,44.466746
2016-02-24,44.790001,45.650002,43.939999,45.459999,3543800,44.98127
2016-02-25,47.009998,47.209999,44.200001,46.669998,5732600,46.178527
2016-02-26,47.07,47.400002,46.150002,46.82,3838700,46.326949
2016-02-29,46.41,46.900002,45.82,46.669998,3976200,46.178527
2016-03-01,46.900002,47.25,45.73,46.509998,2335600,46.020212
2016-03-02,46.400002,47.23,46.279999,46.639999,3187000,46.148844
2016-03-03,46.400002,46.98,46.040001,46.740002,3029400,46.247793
2016-03-04,46.75,47.639999,46.119999,47.48,3607300,46.979999
2016-03-07,47.32,49.18,47.0,48.59,3589100,48.59
