Date,Open_PH,High_PH,Low_PH,Close_PH,Volume_PH,AdjClose_PH
2014-07-09,125.059998,125.519997,123.980003,124.480003,491300,119.171312
2014-07-10,122.919998,123.25,122.339996,122.779999,852200,117.543807
2014-07-11,122.889999,123.379997,122.050003,123.019997,871700,117.77357
2014-07-14,124.18,124.18,122.860001,123.019997,718500,117.77357
2014-07-15,123.120003,123.82,122.629997,123.489998,1081300,118.223527
2014-07-16,124.080002,124.639999,123.260002,124.620003,806500,119.30534
2014-07-17,123.379997,124.0,121.730003,121.919998,766800,116.720483
2014-07-18,122.459999,123.779999,122.110001,123.43,874900,118.166088
2014-07-21,123.07,123.580002,122.410004,123.010002,548600,117.764001
2014-07-22,123.879997,124.739998,123.510002,123.620003,529600,118.347987
2014-07-23,123.669998,123.690002,122.769997,123.290001,474600,118.032059
2014-07-24,123.330002,124.029999,123.010002,123.330002,804000,118.070354
2014-07-25,122.949997,123.699997,122.699997,122.93,616100,117.687411
2014-07-28,122.68,122.68,120.57,121.699997,702700,116.509864
2014-07-29,121.220001,121.589996,117.690002,117.739998,1915800,112.718747
2014-07-30,118.099998,118.809998,116.93,117.610001,1449800,112.594293
2014-07-31,116.470001,116.910004,114.889999,114.949997,1357900,110.047731
2014-08-01,114.510002,114.690002,112.769997,114.150002,1712700,109.281853
2014-08-04,114.639999,115.919998,114.309998,115.57,961600,110.641292
2014-08-05,114.730003,116.980003,114.370003,115.019997,1621600,110.114745
2014-08-06,111.639999,111.639999,105.910004,109.550003,5933300,104.87803
2014-08-07,110.349998,111.910004,109.360001,109.849998,2954200,105.165232
2014-08-08,110.300003,111.610001,109.360001,111.559998,1620300,106.802305
2014-08-11,112.559998,112.650002,111.650002,111.760002,892900,106.99378
2014-08-12,111.779999,113.040001,111.5,112.480003,1159900,107.683075
2014-08-13,112.879997,113.480003,112.269997,113.190002,886900,108.362795
2014-08-14,113.410004,113.620003,112.93,113.519997,926100,108.678716
2014-08-15,113.830002,114.019997,112.110001,112.779999,996200,107.970276
2014-08-18,113.349998,114.730003,113.349998,114.57,1053500,109.683939
2014-08-19,114.910004,115.650002,114.790001,115.32,760300,110.401954
2014-08-20,115.459999,118.769997,115.120003,117.800003,1890500,112.776193
2014-08-21,117.739998,117.889999,116.269997,117.050003,1191300,112.058178
2014-08-22,116.760002,117.309998,115.660004,116.150002,810800,111.196559
2014-08-25,116.82,117.190002,116.239998,117.019997,900500,112.029451
2014-08-26,116.470001,117.190002,115.970001,116.040001,859100,111.548805
2014-08-27,116.360001,116.519997,115.419998,115.900002,697500,111.414224
2014-08-28,115.010002,115.190002,114.379997,114.75,1251400,110.308732
2014-08-29,115.190002,115.559998,114.449997,115.5,1398400,111.029704
2014-09-02,115.650002,116.440002,115.330002,116.0,952500,111.510352
2014-09-03,116.690002,116.730003,115.080002,115.410004,1195800,110.943191
2014-09-04,115.599998,117.209999,115.260002,117.040001,3111900,112.510101
2014-09-05,117.040001,118.129997,116.110001,118.050003,1528300,113.481012
2014-09-08,117.75,117.989998,117.360001,117.580002,1674500,113.029202
2014-09-09,117.589996,119.330002,117.239998,118.389999,1894600,113.80785
2014-09-10,118.25,118.550003,116.910004,118.440002,1308600,113.855917
2014-09-11,117.919998,118.699997,117.709999,118.349998,848500,113.769397
2014-09-12,118.150002,118.709999,117.400002,117.779999,918100,113.221458
2014-09-15,117.470001,117.470001,116.080002,117.099998,832900,112.567777
2014-09-16,116.400002,117.25,115.629997,116.989998,903400,112.462033
2014-09-17,117.480003,118.040001,116.110001,116.610001,763000,112.096744
2014-09-18,116.730003,117.389999,116.459999,117.260002,675000,112.721588
2014-09-19,117.860001,118.220001,116.190002,116.629997,1402500,112.115966
2014-09-22,116.169998,116.370003,114.160004,114.739998,960500,110.299117
2014-09-23,114.169998,114.379997,113.199997,113.690002,1089400,109.289761
2014-09-24,113.470001,114.830002,112.559998,114.639999,979800,110.202989
2014-09-25,113.910004,114.300003,112.839996,112.839996,969000,108.472653
2014-09-26,112.93,114.25,112.330002,113.870003,571100,109.462794
2014-09-29,112.620003,114.089996,112.349998,114.029999,895900,109.616598
2014-09-30,114.260002,114.980003,113.519997,114.150002,1765300,109.731956
2014-10-01,113.68,113.970001,111.370003,111.669998,1379600,107.347938
2014-10-02,111.75,112.269997,110.269997,111.129997,1013700,106.828838
2014-10-03,111.739998,112.559998,111.599998,112.230003,958000,107.886269
2014-10-06,112.75,113.260002,111.410004,112.269997,531900,107.924715
2014-10-07,111.300003,111.529999,109.669998,109.709999,915300,105.463799
2014-10-08,109.93,112.589996,108.989998,112.410004,1198700,108.059303
2014-10-09,112.040001,112.260002,109.410004,109.529999,826600,105.290765
2014-10-10,109.269997,110.089996,107.540001,108.980003,1434300,104.762057
2014-10-13,108.150002,108.550003,102.970001,103.089996,2614200,99.100016
2014-10-14,104.029999,106.970001,103.739998,104.190002,2434500,100.157447
2014-10-15,103.160004,103.330002,99.82,102.959999,3049500,98.97505
2014-10-16,101.709999,105.379997,101.190002,105.099998,2460700,101.032223
2014-10-17,106.300003,108.489998,104.419998,104.419998,1815500,100.378541
2014-10-20,104.519997,107.010002,104.260002,106.830002,1512000,102.695269
2014-10-21,108.260002,111.5,107.889999,111.290001,1233200,106.982648
2014-10-22,111.07,111.610001,108.980003,109.139999,1504700,104.91586
2014-10-23,118.519997,119.849998,115.75,116.389999,2709400,111.885257
2014-10-24,116.260002,116.839996,115.199997,116.57,1283200,112.058291
2014-10-27,116.43,117.629997,115.349998,117.239998,1806500,112.702358
2014-10-28,122.849998,126.040001,121.360001,122.949997,2306500,118.191358
2014-10-29,122.919998,124.18,121.650002,123.970001,1477200,119.171884
2014-10-30,122.93,125.209999,122.860001,124.669998,1190400,119.844788
2014-10-31,126.389999,127.589996,125.910004,127.029999,1922200,122.113448
2014-11-03,127.419998,127.690002,125.769997,126.769997,1239100,121.863509
2014-11-04,126.760002,126.989998,125.339996,126.379997,1067000,121.488604
2014-11-05,126.779999,127.860001,126.089996,127.779999,899300,122.83442
2014-11-06,127.82,128.690002,127.5,127.959999,1441400,123.616928
2014-11-07,127.940002,128.699997,127.510002,128.5,1426300,124.138601
2014-11-10,128.470001,129.050003,127.940002,128.429993,723600,124.070969
2014-11-11,128.289993,129.0,127.589996,128.080002,753800,123.732857
2014-11-12,127.639999,129.259995,127.470001,128.570007,873900,124.206232
2014-11-13,128.589996,129.070007,126.720001,126.970001,1269800,122.660531
2014-11-14,126.75,128.520004,126.75,128.440002,867000,124.080639
2014-11-17,127.790001,129.0,127.790001,128.619995,1170500,124.254523
2014-11-18,128.850006,130.860001,128.429993,130.470001,1497200,126.041738
2014-11-19,130.110001,130.110001,128.5,129.240005,1929300,124.85349
2014-11-20,128.240005,130.619995,128.130005,130.429993,1097500,126.003088
2014-11-21,131.210007,133.240005,130.660004,131.839996,1742800,127.365235
2014-11-24,132.429993,132.869995,131.639999,132.630005,860500,128.12843
2014-11-25,132.860001,133.410004,131.509995,132.779999,1329900,128.273333
2014-11-26,132.25,132.619995,131.399994,131.690002,804000,127.220332
2014-11-28,131.320007,131.339996,128.270004,129.029999,941600,124.650611
2014-12-01,129.190002,129.619995,127.160004,127.660004,1397000,123.327114
2014-12-02,126.440002,129.070007,126.440002,128.649994,1069800,124.283504
