Date,Open_NOV,High_NOV,Low_NOV,Close_NOV,Volume_NOV,AdjClose_NOV
2014-10-14,68.110001,70.080002,67.57,68.5,5534000,64.160311
2014-10-15,67.669998,70.209999,67.25,69.970001,6767800,65.537183
2014-10-16,68.260002,71.629997,67.940002,71.209999,5472300,66.698623
2014-10-17,71.669998,72.900002,69.459999,70.440002,5420800,65.977408
2014-10-20,70.5,71.080002,69.510002,70.980003,3580300,66.483199
2014-10-21,71.800003,73.540001,71.459999,73.349998,3669000,68.703047
2014-10-22,73.589996,73.809998,71.339996,71.440002,3324800,66.914055
2014-10-23,72.629997,74.43,71.989998,73.650002,4212100,68.984044
2014-10-24,73.419998,73.93,72.309998,73.519997,2736600,68.862275
2014-10-27,72.230003,72.239998,70.349998,71.029999,4565400,66.530027
2014-10-28,71.800003,73.330002,71.099998,73.080002,3258900,68.450156
2014-10-29,73.970001,74.650002,71.970001,72.730003,3899200,68.122331
2014-10-30,70.849998,72.730003,69.75,70.760002,6963500,66.277135
2014-10-31,71.300003,72.720001,69.900002,72.639999,5631100,68.038029
2014-11-03,71.970001,72.599998,70.349998,70.720001,5806800,66.239668
2014-11-04,69.809998,69.910004,68.230003,69.139999,4450400,64.759765
2014-11-05,69.610001,71.860001,69.139999,71.559998,4789300,67.026448
2014-11-06,70.75,72.919998,70.5,72.870003,5430900,68.253461
2014-11-07,72.739998,74.370003,72.610001,73.260002,4938600,68.618752
2014-11-10,74.099998,74.650002,72.949997,73.519997,5213800,68.862275
2014-11-11,73.489998,73.599998,72.269997,73.099998,5481200,68.468885
2014-11-12,72.540001,73.970001,72.160004,73.0,3691200,68.375222
2014-11-13,72.75,72.779999,70.260002,71.519997,5734200,66.988982
2014-11-14,71.900002,72.239998,70.040001,71.339996,4540300,66.820385
2014-11-17,71.129997,72.260002,71.050003,71.82,4461500,67.269979
2014-11-18,71.839996,72.580002,71.470001,72.050003,3271800,67.48541
2014-11-19,72.0,72.709999,71.239998,71.489998,4450300,66.960883
2014-11-20,71.620003,72.589996,71.43,72.360001,3239600,67.775769
2014-11-21,73.550003,74.050003,72.559998,73.82,3617300,69.143272
2014-11-24,73.860001,74.199997,73.080002,73.550003,3827100,68.890381
2014-11-25,73.870003,74.190002,72.260002,72.459999,3495200,67.869432
2014-11-26,72.160004,72.440002,71.230003,71.290001,4598400,66.773557
2014-11-28,67.760002,67.980003,65.610001,67.040001,7648500,62.792808
2014-12-01,66.089996,66.900002,65.0,66.459999,8213700,62.249551
2014-12-02,66.169998,67.440002,65.790001,66.599998,4871200,62.380681
2014-12-03,66.57,67.739998,66.0,67.580002,4356300,63.738839
2014-12-04,66.790001,67.919998,65.32,67.349998,6543800,63.521909
2014-12-05,66.709999,67.620003,66.019997,66.889999,4511600,63.088055
2014-12-08,65.989998,66.0,63.630001,63.779999,7594700,60.154823
2014-12-09,63.75,65.150002,63.400002,64.93,6015900,61.23946
2014-12-10,63.84,63.939999,62.560001,63.080002,5458500,59.494613
2014-12-11,62.98,64.620003,62.689999,63.009998,4628300,59.428589
2014-12-12,62.32,62.5,60.880001,61.549999,5578300,58.051574
2014-12-15,62.150002,62.939999,61.630001,61.93,4882200,58.409976
2014-12-16,61.560001,64.120003,60.91,62.34,7536700,58.796672
2014-12-17,62.369999,65.040001,62.310001,64.019997,6257800,60.38118
2014-12-18,65.690002,65.879997,63.77,65.269997,4923000,61.560132
2014-12-19,66.150002,67.099998,65.029999,67.07,7265800,63.257825
2014-12-22,66.139999,66.300003,64.82,66.279999,4581100,62.512726
2014-12-23,66.959999,67.209999,66.0,66.480003,4092100,62.701363
2014-12-24,66.389999,66.769997,65.220001,66.18,2433900,62.418412
2014-12-26,66.709999,67.269997,66.370003,66.699997,2272500,62.908852
2014-12-29,67.230003,67.589996,66.57,66.800003,3379200,63.003174
2014-12-30,66.629997,67.010002,65.949997,66.25,2568600,62.484433
2014-12-31,65.849998,66.360001,64.900002,65.529999,2859000,61.805356
2015-01-02,64.970001,66.019997,64.639999,65.489998,3232800,61.767628
2015-01-05,64.599998,64.599998,61.389999,62.5,6706000,58.947578
2015-01-06,62.23,63.0,61.150002,61.73,5651100,58.221343
2015-01-07,62.360001,62.720001,61.169998,61.790001,4634700,58.277934
2015-01-08,62.279999,63.66,61.959999,63.630001,6683600,60.013351
2015-01-09,63.959999,64.199997,61.709999,61.880001,5026700,58.362819
2015-01-12,60.799999,61.029999,58.18,58.599998,7612800,55.269248
2015-01-13,58.34,59.049999,57.18,57.970001,8931300,54.675059
2015-01-14,57.650002,57.84,56.419998,57.790001,7870200,54.505289
2015-01-15,58.75,58.970001,56.73,56.790001,5229000,53.562128
2015-01-16,57.330002,58.330002,57.25,58.279999,7132900,54.967436
2015-01-20,58.189999,58.400002,57.049999,58.310001,5783300,54.995734
2015-01-21,58.59,59.77,58.310001,59.73,3090100,56.335021
2015-01-22,59.459999,59.82,58.139999,58.82,4658700,55.476744
2015-01-23,58.779999,59.16,57.07,57.150002,6213000,53.901667
2015-01-26,56.66,57.779999,56.650002,57.740002,6088600,54.458132
2015-01-27,57.34,57.849998,56.73,57.700001,4818800,54.420405
2015-01-28,57.290001,57.470001,53.439999,53.529999,11018300,50.487421
2015-01-29,54.150002,54.16,52.139999,53.259998,9603100,50.232767
2015-01-30,52.900002,55.400002,52.639999,54.43,7953500,51.336267
2015-02-02,55.16,56.400002,54.34,56.389999,7454600,53.184862
2015-02-03,57.529999,57.66,53.139999,54.080002,17343900,51.006162
2015-02-04,52.950001,53.490002,51.73,52.330002,12118600,49.35563
2015-02-05,53.119999,53.580002,52.360001,53.240002,6543200,50.213906
2015-02-06,53.75,53.75,49.25,51.43,14993400,48.506783
2015-02-09,51.560001,53.25,51.490002,52.779999,9154200,49.78005
2015-02-10,52.790001,52.959999,51.68,52.349998,8193300,49.37449
2015-02-11,51.77,52.439999,51.34,51.889999,6927100,48.940637
2015-02-12,52.779999,53.630001,52.23,52.560001,6956000,49.572557
2015-02-13,53.200001,53.619999,52.439999,53.360001,6959800,50.327085
2015-02-17,53.32,55.16,52.779999,55.130001,8033800,51.996481
2015-02-18,54.599998,55.919998,54.349998,55.84,9429200,52.666124
