Date,Open_CVS,High_CVS,Low_CVS,Close_CVS,Volume_CVS,AdjClose_CVS
2014-12-17,92.82,94.75,92.699997,94.169998,6906500,92.106951
2014-12-18,95.07,95.529999,94.139999,95.519997,5929400,93.427374
2014-12-19,96.32,96.730003,95.349998,95.699997,9799900,93.603431
2014-12-22,95.809998,97.110001,95.760002,97.110001,4196500,94.982545
2014-12-23,97.650002,98.139999,96.870003,97.870003,4417500,95.725897
2014-12-24,97.900002,98.480003,97.730003,97.889999,2590300,95.745456
2014-12-26,98.599998,98.620003,97.919998,98.25,2279200,96.09757
2014-12-29,97.82,98.489998,97.209999,97.550003,3142500,95.412908
2014-12-30,97.150002,97.940002,97.059998,97.529999,2640000,95.393342
2014-12-31,97.779999,97.870003,96.199997,96.309998,3406100,94.200068
2015-01-02,96.519997,96.870003,94.379997,95.099998,5124200,93.016577
2015-01-05,94.589996,94.889999,93.870003,94.160004,5887900,92.097176
2015-01-06,94.629997,95.300003,93.68,94.230003,5538700,92.165642
2015-01-07,94.910004,95.980003,94.620003,95.93,5792700,93.828396
2015-01-08,96.870003,98.0,96.839996,97.970001,6530700,95.823705
2015-01-09,97.690002,98.330002,96.919998,97.919998,4456700,95.774797
2015-01-12,97.480003,98.120003,97.029999,97.199997,5102600,95.07057
2015-01-13,98.129997,99.080002,96.550003,97.239998,4069500,95.109694
2015-01-14,97.0,97.489998,96.32,97.330002,4704500,95.197727
2015-01-15,97.330002,98.050003,97.010002,97.169998,3784800,95.041228
2015-01-16,96.809998,98.889999,96.720001,98.739998,4748900,96.576833
2015-01-20,99.089996,99.410004,97.389999,98.370003,4612000,96.557208
2015-01-21,98.889999,99.510002,98.209999,99.5,5088500,97.666382
2015-01-22,99.93,100.669998,99.449997,100.279999,5184300,98.432006
2015-01-23,100.440002,101.339996,100.010002,100.620003,4595500,98.765745
2015-01-26,100.330002,101.07,100.07,101.010002,2858900,99.148557
2015-01-27,100.059998,101.309998,99.809998,100.82,3916900,98.962056
2015-01-28,101.269997,101.589996,99.459999,99.599998,4844100,97.764537
2015-01-29,99.449997,100.169998,99.209999,100.110001,4900800,98.265141
2015-01-30,99.18,99.860001,98.040001,98.160004,6161100,96.351079
2015-02-02,98.339996,99.220001,97.059998,99.110001,4415500,97.283569
2015-02-03,99.57,100.169998,98.849998,100.129997,4297300,98.284769
2015-02-04,100.019997,101.139999,99.739998,100.459999,5714000,98.60869
2015-02-05,100.550003,100.959999,99.849998,100.760002,3464300,98.903164
2015-02-06,100.980003,101.449997,100.169998,100.610001,4575500,98.755927
2015-02-09,100.610001,100.769997,99.050003,99.559998,5458600,97.725274
2015-02-10,101.239998,101.879997,98.360001,101.68,9777600,99.806208
2015-02-11,101.550003,103.290001,101.550003,102.589996,6922400,100.699434
2015-02-12,103.019997,103.150002,101.559998,103.0,5279700,101.101882
2015-02-13,102.849998,103.129997,102.230003,102.629997,4125600,100.738698
2015-02-17,102.220001,103.559998,101.790001,103.550003,5328400,101.64175
2015-02-18,103.349998,104.169998,103.019997,104.099998,3860200,102.18161
2015-02-19,104.07,104.260002,102.449997,102.620003,3578400,100.728888
2015-02-20,102.360001,102.720001,101.870003,102.699997,4313300,100.807408
2015-02-23,102.75,103.660004,102.5,103.260002,3619600,101.357093
2015-02-24,103.489998,103.550003,102.720001,103.360001,3423900,101.455249
2015-02-25,103.169998,104.089996,103.040001,103.440002,3655500,101.533776
2015-02-26,103.5,104.480003,103.470001,104.169998,3497000,102.25032
2015-02-27,103.75,104.519997,103.610001,103.870003,3808900,101.955853
2015-03-02,104.099998,104.839996,104.010002,104.190002,3189300,102.269955
2015-03-03,104.169998,104.379997,102.959999,103.449997,4044500,101.543587
2015-03-04,103.059998,103.449997,102.769997,103.080002,3079500,101.18041
2015-03-05,103.5,103.550003,102.68,103.360001,3619100,101.455249
2015-03-06,102.43,102.690002,101.550003,101.900002,4639800,100.022155
2015-03-09,102.089996,102.760002,101.790001,102.5,4217200,100.611097
2015-03-10,101.589996,102.339996,101.5,101.529999,3951300,99.658971
