Date,Open_SLG,High_SLG,Low_SLG,Close_SLG,Volume_SLG,AdjClose_SLG
2014-06-25,110.650002,111.099998,109.940002,110.059998,818100,105.323648
2014-06-26,109.660004,109.800003,108.519997,109.0,516500,104.785301
2014-06-27,108.860001,109.580002,108.720001,109.32,831300,105.092927
2014-06-30,109.510002,110.110001,108.610001,109.410004,546400,105.179451
2014-07-01,110.010002,110.010002,108.260002,109.639999,1167700,105.400554
2014-07-02,109.690002,109.690002,108.580002,108.900002,595600,104.689169
2014-07-03,108.900002,109.139999,108.059998,108.339996,273800,104.150818
2014-07-07,108.419998,109.059998,108.0,108.260002,605400,104.073917
2014-07-08,108.440002,109.019997,108.290001,108.690002,518000,104.48729
2014-07-09,108.720001,109.0,107.510002,108.610001,696400,104.410382
2014-07-10,108.410004,109.970001,108.18,109.75,893100,105.506301
2014-07-11,109.790001,109.970001,108.959999,109.220001,410400,104.996795
2014-07-14,109.449997,109.720001,108.720001,109.5,442100,105.265967
2014-07-15,109.510002,110.57,109.510002,110.279999,656900,106.015806
2014-07-16,110.379997,110.620003,109.5,110.25,652800,105.986967
2014-07-17,110.129997,110.57,109.389999,109.389999,494000,105.16022
2014-07-18,109.849998,110.720001,109.629997,110.610001,482100,106.333048
2014-07-21,110.510002,110.82,109.980003,110.260002,603500,105.996583
2014-07-22,111.330002,111.980003,110.480003,111.720001,664100,107.400128
2014-07-23,111.610001,112.059998,111.300003,111.629997,414900,107.313604
2014-07-24,111.629997,112.650002,110.900002,111.860001,908400,107.534714
2014-07-25,111.75,111.879997,109.610001,109.75,705600,105.506301
2014-07-28,109.779999,110.800003,109.43,110.309998,382900,106.044645
2014-07-29,110.239998,111.019997,109.010002,109.010002,465900,104.794916
2014-07-30,109.190002,109.809998,108.879997,109.370003,478300,105.140997
2014-07-31,108.769997,109.290001,107.669998,107.800003,517600,103.631704
2014-08-01,107.730003,108.309998,107.110001,107.330002,1103900,103.179877
2014-08-04,107.230003,108.519997,106.709999,108.169998,512200,103.987393
2014-08-05,107.610001,108.169998,106.610001,106.769997,369200,102.641525
2014-08-06,106.57,107.470001,105.589996,106.800003,441500,102.670371
2014-08-07,106.720001,107.919998,106.18,106.760002,405600,102.631917
2014-08-08,106.809998,107.480003,106.07,107.349998,288200,103.1991
2014-08-11,107.529999,108.349998,107.309998,107.82,349500,103.650928
2014-08-12,107.82,108.43,107.449997,107.989998,270000,103.814353
2014-08-13,108.120003,110.18,108.120003,110.07,804200,105.813927
2014-08-14,110.379997,110.639999,109.379997,110.129997,326900,105.871605
2014-08-15,110.169998,110.68,109.440002,109.830002,387300,105.583209
2014-08-18,110.379997,111.239998,110.099998,110.959999,392900,106.669513
2014-08-19,110.959999,111.599998,110.68,111.139999,811100,106.842553
2014-08-20,110.82,111.43,109.839996,111.120003,558900,106.82333
2014-08-21,111.400002,111.699997,110.279999,110.290001,585500,106.025421
2014-08-22,110.32,110.410004,109.089996,109.739998,355000,105.496685
2014-08-25,110.010002,110.010002,108.989998,109.18,523200,104.958341
2014-08-26,109.169998,110.059998,108.720001,109.400002,389200,105.169836
2014-08-27,109.779999,110.339996,109.129997,109.599998,436900,105.362099
