Date,Open_SWK,High_SWK,Low_SWK,Close_SWK,Volume_SWK,AdjClose_SWK
2016-03-10,99.029999,99.580002,97.470001,98.349998,943700,97.873918
2016-03-11,99.040001,100.160004,99.040001,100.0,730500,99.515933
2016-03-14,99.559998,100.370003,99.440002,99.730003,905800,99.247243
2016-03-15,99.0,99.980003,98.699997,99.82,893500,99.336804
2016-03-16,99.779999,100.080002,98.620003,99.800003,1025500,99.316904
2016-03-17,99.800003,102.019997,99.720001,101.709999,1280200,101.217654
2016-03-18,101.889999,102.139999,100.610001,101.760002,2040800,101.267415
2016-03-21,101.489998,103.839996,101.18,103.480003,1421500,102.979091
2016-03-22,102.870003,103.489998,102.610001,103.18,977600,102.68054
2016-03-23,102.800003,103.959999,102.269997,102.949997,1454600,102.45165
2016-03-24,102.589996,103.510002,102.18,103.510002,1208500,103.008944
2016-03-28,103.510002,103.889999,102.800003,103.730003,570000,103.22788
2016-03-29,103.739998,105.959999,103.57,105.709999,1224800,105.198292
2016-03-30,106.480003,106.480003,104.790001,105.169998,649100,104.660905
2016-03-31,105.290001,105.650002,104.75,105.209999,886200,104.700712
2016-04-01,104.309998,106.760002,104.199997,106.639999,1083800,106.12379
2016-04-04,106.540001,106.540001,105.139999,105.440002,880900,104.929602
2016-04-05,104.889999,105.480003,104.279999,104.57,638000,104.063811
2016-04-06,104.57,105.769997,103.889999,105.739998,653800,105.228145
2016-04-07,104.830002,105.760002,104.370003,104.769997,806400,104.262839
2016-04-08,105.830002,106.379997,105.330002,105.839996,809400,105.32766
2016-04-11,106.440002,107.080002,106.029999,106.099998,620500,105.586403
2016-04-12,106.410004,107.599998,106.120003,107.489998,887300,106.969674
2016-04-13,107.989998,109.330002,107.959999,109.239998,1246900,108.711203
2016-04-14,109.470001,109.620003,108.010002,108.959999,1046200,108.432559
2016-04-15,109.190002,109.470001,108.410004,108.790001,1053200,108.263384
2016-04-18,108.309998,109.110001,108.029999,109.110001,958600,108.581835
2016-04-19,109.589996,109.949997,108.32,109.059998,864800,108.532074
2016-04-20,108.949997,109.18,108.029999,108.220001,2166700,107.696144
2016-04-21,109.900002,113.160004,109.379997,112.269997,3148800,111.726534
2016-04-22,112.650002,113.550003,110.980003,111.669998,1463900,111.12944
2016-04-25,111.629997,111.93,111.169998,111.519997,891200,110.980165
2016-04-26,111.949997,113.050003,111.529999,112.779999,1257500,112.234068
2016-04-27,112.919998,113.690002,112.209999,113.190002,1334900,112.642087
2016-04-28,112.269997,113.489998,111.809998,112.410004,1188900,111.865864
2016-04-29,111.93,112.629997,111.379997,111.919998,1220100,111.37823
2016-05-02,112.019997,112.730003,111.540001,112.080002,1108900,111.537459
2016-05-03,111.080002,111.190002,109.510002,110.580002,1017500,110.04472
2016-05-04,110.32,110.559998,109.599998,110.349998,886700,109.81583
2016-05-05,110.639999,110.959999,110.010002,110.360001,1269400,109.825784
2016-05-06,110.169998,111.330002,109.830002,111.300003,781800,110.761236
2016-05-09,110.879997,111.489998,110.540001,110.860001,800000,110.323364
2016-05-10,111.309998,113.050003,110.949997,112.989998,831200,112.44305
2016-05-11,113.0,113.459999,112.300003,112.970001,777300,112.42315
2016-05-12,113.419998,113.949997,112.639999,113.650002,888600,113.099859
2016-05-13,113.410004,114.349998,112.260002,113.209999,1141000,112.661987
2016-05-16,112.900002,114.300003,112.610001,114.010002,1007200,113.458117
2016-05-17,113.970001,114.620003,113.089996,113.5,1109500,112.950584
2016-05-18,113.309998,114.010002,112.589996,113.25,781100,112.701794
2016-05-19,112.400002,112.620003,111.07,112.330002,795400,111.786249
2016-05-20,113.040001,113.43,112.279999,112.970001,1868800,112.42315
2016-05-23,113.050003,113.489998,112.010002,112.93,661700,112.383343
2016-05-24,113.68,114.699997,113.050003,114.470001,649100,113.915889
2016-05-25,114.699997,115.150002,114.0,114.209999,862100,113.657146
2016-05-26,114.32,114.540001,113.389999,113.620003,627600,113.070006
2016-05-27,113.389999,113.559998,112.779999,113.18,746200,113.18
2016-05-31,113.25,113.519997,112.480003,113.18,959100,113.18
2016-06-01,112.660004,113.68,112.050003,113.540001,565000,113.540001
2016-06-02,113.5,113.980003,113.029999,113.980003,477400,113.980003
2016-06-03,113.620003,113.739998,112.410004,113.339996,511500,113.339996
