Date,Open_UTX,High_UTX,Low_UTX,Close_UTX,Volume_UTX,AdjClose_UTX
2015-11-20,98.639999,99.550003,98.139999,98.220001,4898200,96.85005
2015-11-23,98.18,98.580002,97.889999,98.089996,4177100,96.721858
2015-11-24,97.57,97.879997,96.459999,97.360001,5344100,96.002044
2015-11-25,97.410004,98.050003,97.25,97.269997,4336400,95.913296
2015-11-27,97.010002,97.169998,96.540001,96.800003,1919700,95.449857
2015-11-30,97.059998,97.25,95.940002,96.050003,5561000,94.710318
2015-12-01,96.040001,97.449997,96.019997,96.699997,4595500,95.351246
2015-12-02,96.459999,96.830002,95.129997,95.25,3892500,93.921473
2015-12-03,95.300003,95.800003,94.400002,94.699997,6082000,93.379142
2015-12-04,94.989998,96.629997,94.790001,95.730003,9228900,94.394782
2015-12-07,95.620003,96.25,95.370003,95.910004,4681200,94.572272
2015-12-08,94.980003,95.32,93.900002,94.230003,7011800,92.915704
2015-12-09,93.580002,95.580002,93.209999,94.160004,6911400,92.84668
2015-12-10,94.07,94.669998,91.629997,93.870003,5814100,92.560724
2015-12-11,93.010002,94.629997,92.93,93.300003,9942600,91.998675
2015-12-14,93.300003,93.57,92.199997,93.029999,6748200,91.732436
2015-12-15,93.68,94.660004,93.230003,93.260002,6618000,91.959232
2015-12-16,93.970001,95.43,93.440002,95.129997,9868300,93.803145
2015-12-17,95.129997,95.730003,93.839996,93.870003,4802300,92.560724
2015-12-18,93.309998,94.330002,92.339996,92.339996,8665800,91.052058
2015-12-21,93.019997,93.889999,92.690002,93.610001,8708800,92.304348
2015-12-22,94.309998,95.410004,94.0,94.870003,4644100,93.546776
2015-12-23,95.5,96.599998,95.43,96.300003,4677200,94.956831
2015-12-24,95.889999,96.519997,95.870003,96.300003,1382700,94.956831
2015-12-28,95.980003,96.309998,95.699997,96.089996,3606800,94.749754
2015-12-29,96.669998,97.769997,96.349998,97.269997,3291400,95.913296
2015-12-30,96.919998,97.5,96.519997,96.900002,3161600,95.548461
2015-12-31,96.410004,96.68,95.709999,96.07,2951000,94.730036
2016-01-04,94.449997,95.639999,93.959999,95.57,5382200,94.23701
2016-01-05,95.139999,96.0,94.800003,95.720001,4253100,94.384919
2016-01-06,93.900002,94.639999,92.540001,93.120003,8300600,91.821185
2016-01-07,91.470001,93.349998,91.43,91.900002,6984800,90.6182
2016-01-08,91.57,91.879997,90.220001,90.400002,7501300,89.139122
2016-01-11,91.089996,91.400002,89.919998,90.5,7185200,89.237725
2016-01-12,90.989998,91.150002,89.669998,90.5,7697300,89.237725
2016-01-13,90.669998,90.669998,88.410004,88.830002,8588800,87.59102
2016-01-14,89.080002,89.580002,87.860001,89.010002,7395900,87.76851
2016-01-15,86.989998,88.059998,85.470001,85.629997,10485600,84.435648
2016-01-19,86.349998,86.349998,84.470001,85.239998,7470000,84.051089
2016-01-20,84.440002,85.580002,83.389999,84.830002,9601200,83.646811
2016-01-21,84.830002,86.790001,84.540001,85.57,5742900,84.376488
2016-01-22,86.949997,87.379997,85.879997,86.349998,4647400,85.145607
2016-01-25,85.980003,86.150002,84.690002,84.900002,10444000,83.715835
2016-01-26,85.290001,86.470001,85.209999,85.650002,7393800,84.455374
2016-01-27,85.699997,87.57,84.75,85.809998,8083900,84.613138
2016-01-28,86.300003,87.199997,85.919998,86.449997,5757200,85.244211
2016-01-29,86.870003,87.690002,86.760002,87.690002,7887500,86.466921
2016-02-01,87.059998,87.839996,86.449997,87.559998,5036900,86.33873
