Date,Open_MCD,High_MCD,Low_MCD,Close_MCD,Volume_MCD,AdjClose_MCD
2015-09-21,97.480003,98.169998,97.010002,97.900002,4543500,95.704524
2015-09-22,97.120003,98.080002,96.709999,97.199997,6254500,95.020218
2015-09-23,97.239998,97.849998,97.010002,97.379997,3035300,95.196182
2015-09-24,96.830002,97.43,96.300003,97.290001,4138800,95.108203
2015-09-25,97.889999,98.699997,97.459999,97.589996,4825800,95.401471
2015-09-28,97.0,97.739998,95.779999,95.959999,6609800,93.808028
2015-09-29,97.459999,97.790001,96.809998,97.480003,6944800,95.293945
2015-09-30,98.209999,98.699997,97.760002,98.529999,5517600,96.320393
2015-10-01,98.5,99.0,97.669998,98.779999,4456600,96.564787
2015-10-02,97.330002,99.809998,97.129997,99.790001,4400800,97.552139
2015-10-05,100.269997,101.639999,100.199997,101.169998,6501600,98.901189
2015-10-06,101.260002,102.300003,101.160004,101.900002,7252400,99.614822
2015-10-07,100.75,101.900002,100.339996,101.769997,6497100,99.487732
2015-10-08,101.849998,103.470001,101.769997,102.949997,8218900,100.64127
2015-10-09,103.0,103.440002,102.269997,102.760002,5756600,100.455536
2015-10-12,102.68,103.309998,102.510002,103.239998,3448200,100.924767
2015-10-13,102.849998,103.510002,102.629997,103.379997,4697300,101.061627
2015-10-14,104.150002,104.93,102.43,102.82,9093000,100.514188
2015-10-15,102.57,105.199997,101.599998,103.660004,10168300,101.335354
2015-10-16,104.720001,105.010002,103.410004,104.82,6717800,102.469337
2015-10-19,104.239998,105.150002,104.150002,104.489998,7064300,102.146735
2015-10-20,104.050003,104.349998,103.419998,103.839996,4872200,101.511311
2015-10-21,103.980003,104.25,102.080002,102.540001,7979600,100.240468
2015-10-22,110.400002,111.0,108.379997,110.870003,25286600,108.383664
2015-10-23,111.18,112.870003,111.099998,112.589996,11677300,110.065086
2015-10-26,112.230003,113.959999,111.82,112.18,11478600,109.664284
2015-10-27,112.269997,112.349998,110.589996,111.639999,10013300,109.136393
2015-10-28,111.690002,112.949997,111.400002,112.940002,4390300,110.407243
2015-10-29,112.660004,112.949997,111.889999,112.620003,3752600,110.094419
2015-10-30,112.879997,113.290001,112.25,112.25,6409500,109.732714
2015-11-02,112.459999,112.839996,111.230003,112.110001,5663000,109.595854
2015-11-03,111.919998,112.309998,111.269997,112.080002,4584900,109.566528
2015-11-04,112.190002,112.529999,111.309998,112.400002,6797100,109.879352
2015-11-05,112.599998,113.449997,112.150002,112.849998,5059100,110.319257
2015-11-06,112.400002,113.440002,112.160004,113.309998,4615600,110.76894
2015-11-09,113.449997,113.480003,112.400002,112.93,8423800,110.397465
2015-11-10,112.769997,114.989998,110.75,113.220001,12716500,110.680962
2015-11-11,113.669998,114.43,113.540001,113.849998,8387800,111.296831
2015-11-12,113.5,113.739998,112.059998,112.110001,5893800,109.595854
2015-11-13,111.849998,112.360001,109.910004,109.970001,8602400,107.503846
2015-11-16,109.849998,111.059998,109.599998,111.059998,6731800,108.569398
2015-11-17,111.040001,111.82,110.459999,110.940002,6027600,108.452094
2015-11-18,111.300003,112.589996,110.839996,112.529999,5194500,110.006434
2015-11-19,112.529999,113.709999,112.300003,113.300003,5323500,110.75917
2015-11-20,113.360001,114.169998,113.190002,113.910004,6659400,111.355491
2015-11-23,114.010002,114.900002,113.910004,114.470001,4968400,111.90293
2015-11-24,113.900002,114.559998,113.360001,114.279999,6047700,111.717189
2015-11-25,114.269997,114.919998,113.949997,114.400002,7477200,111.8345
2015-11-27,113.709999,114.389999,113.529999,114.230003,2763700,112.543878
2015-11-30,114.379997,114.489998,113.559998,114.160004,7872000,112.474912
2015-12-01,114.519997,114.93,113.790001,114.449997,5321900,112.760624
2015-12-02,114.099998,114.269997,113.449997,113.720001,5692200,112.041404
2015-12-03,113.610001,114.440002,112.910004,113.389999,6558600,111.716273
2015-12-04,113.75,116.389999,113.419998,116.199997,7778200,114.484793
2015-12-07,115.809998,116.510002,115.75,116.419998,4810700,114.701547
2015-12-08,115.949997,116.860001,115.260002,116.529999,4814200,114.809924
2015-12-09,116.209999,117.300003,115.900002,116.580002,7604700,114.859189
2015-12-10,116.610001,117.510002,116.199997,117.199997,5299900,115.470032
2015-12-11,115.860001,116.610001,115.620003,116.080002,5736400,114.366569
2015-12-14,116.169998,117.07,114.650002,116.260002,7660700,114.543912
2015-12-15,117.5,118.239998,116.839996,116.93,6104700,115.204021
2015-12-16,117.489998,118.75,116.489998,117.839996,6306300,116.100585
2015-12-17,118.339996,118.900002,117.489998,117.5,5275900,115.765607
2015-12-18,116.739998,117.279999,115.889999,116.660004,11238900,114.93801
2015-12-21,116.959999,117.739998,116.610001,117.690002,3344600,115.952805
2015-12-22,117.959999,118.040001,116.639999,117.720001,4092000,115.982361
2015-12-23,118.019997,118.849998,117.75,118.800003,3641900,117.046421
2015-12-24,118.75,118.989998,118.5,118.57,1659300,116.819813
2015-12-28,118.099998,118.900002,118.050003,118.75,2777200,116.997156
2015-12-29,119.0,120.230003,118.82,120.07,3213900,118.297671
2015-12-30,119.639999,119.989998,119.230003,119.43,2400800,117.667119
2015-12-31,118.82,119.18,117.940002,118.139999,3723200,116.396159
2016-01-04,117.25,117.730003,115.870003,117.580002,9995000,115.844428
2016-01-05,117.410004,119.230003,117.290001,119.199997,6314000,117.440511
2016-01-06,118.0,119.269997,117.809998,118.400002,6543800,116.652324
2016-01-07,117.440002,117.970001,115.589996,115.660004,7477900,113.95277
2016-01-08,115.75,117.470001,115.260002,115.480003,6103400,113.775427
2016-01-11,115.650002,117.059998,115.580002,116.690002,6392400,114.967566
2016-01-12,117.029999,117.739998,116.169998,117.440002,5639700,115.706495
2016-01-13,117.690002,117.870003,115.080002,115.120003,6986000,113.42074
2016-01-14,115.589996,117.129997,113.0,116.620003,9204500,114.898599
2016-01-15,114.260002,116.449997,114.209999,115.18,10201900,113.479852
2016-01-19,116.629997,117.709999,115.959999,117.5,9195300,115.765607
2016-01-20,116.970001,118.0,114.379997,115.779999,11905200,114.070994
2016-01-21,116.510002,118.440002,115.790001,117.839996,9839100,116.100585
2016-01-22,118.440002,118.75,117.370003,118.400002,9016600,116.652324
2016-01-25,121.849998,121.900002,118.199997,119.199997,15141500,117.440511
2016-01-26,119.599998,121.300003,119.0,120.43,8326100,118.652358
2016-01-27,120.879997,121.620003,119.830002,120.870003,7409000,119.085866
2016-01-28,121.099998,122.599998,120.199997,122.379997,7460500,120.573572
2016-01-29,122.769997,124.349998,122.75,123.779999,10549900,121.952908
2016-02-01,123.080002,124.830002,123.019997,124.610001,6189900,122.770658
2016-02-02,124.050003,124.339996,123.099998,123.949997,7653000,122.120397
2016-02-03,124.360001,124.580002,120.839996,121.470001,9327000,119.677008
2016-02-04,121.040001,121.239998,118.720001,120.660004,7595000,118.878966
2016-02-05,120.650002,120.650002,114.959999,115.400002,13261700,113.696606
2016-02-08,114.050003,116.360001,112.709999,116.050003,11311500,114.337013
2016-02-09,115.540001,117.800003,115.349998,117.010002,7525700,115.282842
2016-02-10,118.019997,118.529999,117.260002,117.540001,5726300,115.805017
2016-02-11,115.739998,117.5,115.690002,116.730003,7568600,115.006976
2016-02-12,116.720001,118.330002,116.099998,117.93,8552800,116.18926
2016-02-16,118.419998,119.18,117.599998,119.18,10835800,117.420809
2016-02-17,119.18,119.400002,116.720001,118.639999,12729000,116.888779
2016-02-18,118.809998,119.459999,116.93,117.169998,9707100,115.440476
2016-02-19,117.0,117.349998,115.809998,116.529999,10793700,114.809924
2016-02-22,116.529999,118.160004,116.529999,117.669998,6223300,115.933096
2016-02-23,117.349998,118.150002,116.849998,116.900002,5276700,115.174465
2016-02-24,116.32,117.330002,115.800003,117.059998,5349800,115.332099
2016-02-25,117.43,118.5,117.160004,118.370003,6034000,116.622768
2016-02-26,117.980003,118.269997,116.169998,117.059998,5193700,116.205827
2016-02-29,116.800003,118.370003,116.709999,117.190002,6467700,116.334883
2016-03-01,117.910004,119.190002,117.769997,118.849998,4731500,117.982767
2016-03-02,118.559998,118.730003,117.660004,118.480003,4267700,117.615471
2016-03-03,117.480003,117.480003,115.32,116.690002,9132000,115.838532
2016-03-04,116.720001,117.449997,115.900002,117.18,5857400,116.324954
