Date,Open_CFG,High_CFG,Low_CFG,Close_CFG,Volume_CFG,AdjClose_CFG
2015-11-13,25.49,25.6,25.219999,25.530001,9834200,25.273713
2015-11-16,25.6,25.719999,25.27,25.68,6910900,25.422207
2015-11-17,25.719999,25.91,25.52,25.6,4455500,25.34301
2015-11-18,25.73,26.219999,25.610001,26.200001,5740100,25.936987
2015-11-19,26.1,26.24,25.9,26.120001,3415400,25.857791
2015-11-20,26.309999,26.309999,25.870001,26.02,3096000,25.758794
2015-11-23,25.969999,26.18,25.67,25.74,4369400,25.481604
2015-11-24,25.639999,26.15,25.51,26.129999,4961100,25.867689
2015-11-25,26.129999,26.280001,25.937,26.26,4382200,25.996385
2015-11-27,26.23,26.5,26.145,26.389999,2250600,26.125079
2015-11-30,26.43,26.65,26.254999,26.629999,9731800,26.362669
2015-12-01,26.809999,26.870001,26.280001,26.5,6003100,26.233975
2015-12-02,26.75,26.860001,26.459999,26.639999,10320000,26.372569
2015-12-03,26.83,26.84,26.379999,26.469999,10031700,26.204276
2015-12-04,26.690001,27.139999,26.459999,27.120001,5481300,26.847752
2015-12-07,27.1,27.17,26.365,26.51,5337900,26.243875
2015-12-08,26.25,26.549999,26.09,26.41,4656400,26.144878
2015-12-09,26.33,26.74,25.790001,26.1,6760600,25.837991
2015-12-10,26.1,26.57,26.040001,26.299999,3559700,26.035982
2015-12-11,25.959999,26.17,25.370001,25.610001,6501300,25.35291
2015-12-14,25.74,25.959999,25.4,25.719999,5119800,25.461805
2015-12-15,26.18,26.700001,26.040001,26.540001,5445300,26.273575
2015-12-16,26.75,27.02,25.93,26.91,9247000,26.639859
2015-12-17,26.91,27.08,26.424999,26.48,5395000,26.214175
2015-12-18,26.389999,26.450001,25.84,25.9,10143900,25.639998
2015-12-21,26.139999,26.34,25.731001,26.030001,4147900,25.768694
2015-12-22,26.16,26.459999,25.700001,26.25,5388300,25.986485
2015-12-23,26.35,26.540001,26.17,26.52,3890900,26.253775
2015-12-24,26.450001,26.68,26.370001,26.6,1072600,26.332972
2015-12-28,26.440001,26.469999,26.08,26.41,2238800,26.144878
2015-12-29,26.540001,26.805,26.49,26.620001,2872000,26.352771
2015-12-30,26.49,26.66,26.26,26.299999,2062900,26.035982
2015-12-31,26.219999,26.49,26.139999,26.190001,2307000,25.927088
2016-01-04,25.709999,25.99,25.455,25.799999,5598700,25.541001
2016-01-05,25.77,25.950001,25.52,25.68,6389300,25.422207
2016-01-06,25.299999,25.530001,25.15,25.280001,5418800,25.026223
2016-01-07,24.790001,24.915001,24.299999,24.59,4976700,24.343149
2016-01-08,24.809999,24.879999,23.66,23.82,10583700,23.580878
2016-01-11,24.18,24.24,23.67,23.9,6981400,23.660075
2016-01-12,24.1,24.15,23.59,23.9,7081700,23.660075
2016-01-13,24.08,24.15,22.955,23.219999,8078100,22.986901
2016-01-14,23.34,23.379999,22.6,22.9,9374000,22.670114
2016-01-15,22.190001,22.469999,21.700001,22.32,12940800,22.095936
2016-01-19,22.6,22.705,22.040001,22.23,9794300,22.00684
2016-01-20,21.870001,21.969999,21.0,21.6,11155900,21.383165
2016-01-21,21.629999,21.84,21.125,21.33,9819600,21.115875
2016-01-22,21.65,21.799999,19.75,20.780001,23182200,20.571397
2016-01-25,20.780001,20.915001,19.73,19.790001,12599300,19.591336
2016-01-26,19.969999,20.57,19.969999,20.290001,16250900,20.086316
2016-01-27,20.98,21.610001,20.799999,21.209999,33935400,20.997079
2016-01-28,21.5,21.85,21.139999,21.74,21317800,21.521759
2016-01-29,21.879999,21.950001,21.25,21.25,94875300,21.036678
2016-02-01,21.110001,21.209999,20.559999,20.780001,10617700,20.571397
2016-02-02,20.51,20.620001,20.08,20.209999,12990500,20.103863
2016-02-03,20.27,20.305,19.25,20.049999,14336100,19.944704
2016-02-04,20.040001,20.549999,19.889999,20.23,9247700,20.123759
2016-02-05,20.26,20.620001,19.76,19.85,8105900,19.745755
2016-02-08,19.52,19.74,18.950001,19.200001,10227000,19.099169
2016-02-09,18.93,19.610001,18.889999,19.549999,10511900,19.44733
2016-02-10,19.629999,19.76,18.795,18.860001,10445600,18.760955
2016-02-11,18.450001,18.65,18.040001,18.139999,8392700,18.044735
2016-02-12,18.6,18.99,18.32,18.889999,9360800,18.790796
2016-02-16,19.15,19.754999,18.9,19.360001,8897700,19.258329
2016-02-17,19.59,20.25,19.450001,19.65,9440400,19.546805
2016-02-18,19.67,19.809999,18.959999,19.110001,7980000,19.009642
2016-02-19,19.110001,19.299999,18.885,19.24,4536100,19.138958
2016-02-22,19.57,19.82,19.440001,19.799999,4789700,19.696017
2016-02-23,19.73,19.809999,19.094999,19.370001,6184400,19.268276
2016-02-24,19.0,19.16,18.775,19.0,5749500,18.900219
2016-02-25,19.02,19.219999,18.83,19.18,6750600,19.079274
2016-02-26,19.299999,20.110001,18.99,19.74,11218600,19.636332
2016-02-29,19.66,19.799999,19.18,19.23,4248100,19.12901
2016-03-01,19.33,20.280001,19.315001,20.27,7856800,20.16355
2016-03-02,20.24,21.094999,20.16,20.959999,8907100,20.849925
2016-03-03,20.85,21.559999,20.82,21.440001,8729100,21.327405
2016-03-04,21.639999,22.23,21.584999,21.93,7150200,21.814832
2016-03-07,21.700001,21.860001,21.41,21.530001,6164000,21.416933
2016-03-08,21.26,21.26,20.530001,20.92,9761900,20.810136
2016-03-09,21.1,21.23,20.559999,20.700001,5653000,20.591292
2016-03-10,20.879999,21.23,20.58,21.01,5182200,20.899663
2016-03-11,21.34,21.934999,21.290001,21.91,5958900,21.794936
2016-03-14,21.809999,22.16,21.6,22.09,4860800,21.973991
2016-03-15,21.82,22.219999,21.629999,22.190001,5750100,22.073467
2016-03-16,22.01,22.549999,21.58,21.610001,8255800,21.496513
2016-03-17,21.5,21.815001,21.129999,21.73,7425100,21.615881
2016-03-18,21.93,22.24,21.76,22.08,10236600,21.964044
2016-03-21,22.110001,22.25,21.73,22.0,3721900,21.884464
2016-03-22,21.860001,22.07,21.559999,21.93,3745800,21.814832
2016-03-23,21.93,21.965,21.549999,21.690001,3020100,21.576092
2016-03-24,21.440001,21.700001,21.219999,21.59,3906500,21.476617
2016-03-28,21.67,21.73,21.27,21.389999,3613000,21.277667
2016-03-29,21.23,21.379999,20.790001,21.200001,5997200,21.088666
2016-03-30,21.209999,21.355,20.98,21.25,6099700,21.138403
2016-03-31,21.200001,21.209999,20.74,20.950001,4954800,20.839979
2016-04-01,20.92,21.379999,20.629999,21.35,4556800,21.237878
2016-04-04,21.299999,21.65,21.115,21.51,4721700,21.397037
2016-04-05,21.280001,21.344999,20.690001,20.76,6993200,20.650976
2016-04-06,20.74,21.360001,20.549999,21.34,6861700,21.22793
2016-04-07,21.120001,21.25,20.530001,20.790001,6302300,20.680819
2016-04-08,20.959999,21.35,20.780001,20.870001,5449600,20.760399
2016-04-11,21.030001,21.450001,21.02,21.040001,2854300,20.929506
2016-04-12,21.16,21.545,21.139999,21.51,4149300,21.397037
2016-04-13,21.75,22.74,21.66,22.6,6202600,22.481313
2016-04-14,22.58,23.280001,22.450001,22.82,5943800,22.700157
2016-04-15,22.77,22.879999,22.41,22.549999,5015500,22.431575
2016-04-18,22.4,22.77,22.25,22.719999,3604600,22.600682
2016-04-19,22.73,23.375,22.73,23.1,8795800,22.978687
2016-04-20,23.129999,23.43,22.99,23.360001,7534500,23.237322
2016-04-21,23.74,24.24,23.48,23.530001,8222300,23.406429
2016-04-22,23.620001,23.77,23.48,23.620001,5180600,23.495957
2016-04-25,23.58,23.629999,23.129999,23.379999,3325900,23.257216
2016-04-26,23.48,23.645,23.33,23.549999,4065900,23.426323
2016-04-27,23.52,23.83,23.344999,23.620001,4806500,23.495957
2016-04-28,23.4,23.65,23.135,23.24,3265900,23.117952
2016-04-29,23.08,23.26,22.709999,22.85,5315000,22.73
2016-05-02,22.84,23.09,22.57,23.059999,3123000,23.059999
2016-05-03,22.68,22.75,22.290001,22.51,3856200,22.51
2016-05-04,22.25,22.34,21.635,21.99,5197500,21.99
2016-05-05,22.0,22.200001,21.780001,22.110001,4868300,22.110001
2016-05-06,21.91,22.219999,21.77,22.09,3713900,22.09
2016-05-09,22.030001,22.219999,21.83,21.85,2698600,21.85
2016-05-10,21.940001,22.52,21.82,22.360001,10159300,22.360001
