Date,Open_PSX,High_PSX,Low_PSX,Close_PSX,Volume_PSX,AdjClose_PSX
2016-04-15,86.660004,86.660004,84.849998,84.849998,2723400,84.167647
2016-04-18,84.849998,85.730003,83.910004,85.650002,2454600,84.961216
2016-04-19,85.720001,86.5,85.290001,86.419998,1935800,85.725021
2016-04-20,85.910004,87.209999,84.809998,86.690002,2344300,85.992854
2016-04-21,86.839996,87.650002,86.080002,87.400002,2270700,86.697143
2016-04-22,87.639999,88.459999,87.379997,87.980003,2038900,87.272481
2016-04-25,87.900002,88.239998,86.889999,87.93,1730700,87.22288
2016-04-26,88.449997,88.849998,87.82,88.400002,1654800,87.689101
2016-04-27,88.849998,89.309998,88.010002,88.949997,2451700,88.234674
2016-04-28,88.360001,89.059998,87.339996,87.790001,3039000,87.084006
2016-04-29,85.209999,86.029999,81.150002,82.110001,7296800,81.449684
2016-05-02,82.440002,82.5,79.980003,82.199997,4486800,81.538956
2016-05-03,80.699997,80.980003,79.449997,80.010002,4397100,79.366573
2016-05-04,79.900002,80.389999,78.489998,79.32,2972400,78.682119
2016-05-05,80.019997,80.82,78.440002,79.080002,2830500,78.444052
2016-05-06,78.709999,80.18,78.269997,78.519997,3802800,77.88855
2016-05-09,78.5,78.529999,76.879997,78.32,3064600,77.690161
2016-05-10,78.760002,79.690002,78.660004,79.25,2236500,78.612683
2016-05-11,79.160004,80.360001,78.620003,79.389999,2652200,78.751556
2016-05-12,80.0,80.099998,77.839996,78.25,2603500,77.620725
2016-05-13,78.25,79.139999,77.910004,78.339996,3029400,77.709997
2016-05-16,78.220001,78.800003,77.199997,78.68,3107000,78.68
2016-05-17,78.559998,79.300003,78.040001,78.309998,2235800,78.309998
2016-05-18,78.290001,79.480003,77.720001,78.129997,2508400,78.129997
2016-05-19,77.550003,77.959999,76.68,77.650002,2240900,77.650002
2016-05-20,78.150002,78.459999,77.489998,77.900002,2339800,77.900002
2016-05-23,77.510002,78.629997,77.400002,77.82,2483600,77.82
2016-05-24,78.599998,80.0,78.489998,79.699997,3379800,79.699997
2016-05-25,80.089996,80.470001,79.470001,80.129997,2917400,80.129997
2016-05-26,80.419998,80.599998,79.120003,80.040001,3215900,80.040001
2016-05-27,80.050003,80.800003,79.75,80.629997,2319000,80.629997
2016-05-31,80.900002,81.080002,79.860001,80.360001,5371000,80.360001
2016-06-01,79.900002,80.959999,79.389999,80.849998,2988200,80.849998
2016-06-02,80.57,81.43,80.519997,80.830002,2197200,80.830002
2016-06-03,80.610001,80.889999,79.389999,80.129997,2972100,80.129997
