Date,Open_ROST,High_ROST,Low_ROST,Close_ROST,Volume_ROST,AdjClose_ROST
2016-03-15,57.849998,58.5,57.849998,58.130001,1784100,57.983838
2016-03-16,57.849998,58.299999,57.43,58.09,2502300,57.943937
2016-03-17,57.990002,58.57,57.66,58.529999,2112100,58.38283
2016-03-18,58.799999,59.68,58.5,59.299999,4666700,59.150894
2016-03-21,58.849998,59.110001,58.209999,58.43,2361100,58.283083
2016-03-22,58.860001,58.900002,58.049999,58.119999,2242200,57.973861
2016-03-23,58.040001,58.41,57.619999,58.18,1281200,58.033711
2016-03-24,58.349998,58.5,56.880001,57.41,2527400,57.265647
2016-03-28,57.540001,57.990002,57.299999,57.59,2035400,57.445195
2016-03-29,57.700001,58.139999,57.5,58.09,2081200,57.943937
2016-03-30,58.27,58.59,57.639999,58.34,1830100,58.193309
2016-03-31,58.34,58.77,57.849998,57.900002,1977700,57.754416
2016-04-01,57.889999,58.790001,57.619999,58.639999,2307600,58.492554
2016-04-04,58.869999,59.009998,58.41,58.650002,2941100,58.502531
2016-04-05,57.68,58.52,57.509998,57.900002,2314400,57.754416
2016-04-06,58.060001,58.790001,57.709999,58.490002,1797600,58.342933
2016-04-07,58.09,58.529999,56.400002,56.700001,2996700,56.557433
2016-04-08,56.669998,56.799999,56.18,56.529999,1937400,56.387859
2016-04-11,56.529999,56.919998,56.009998,56.049999,1966400,55.909066
2016-04-12,56.16,56.490002,55.439999,56.41,1554000,56.268161
2016-04-13,56.68,57.029999,56.110001,56.950001,1751200,56.806804
2016-04-14,56.459999,57.07,56.02,56.98,2681200,56.836728
2016-04-15,57.16,57.34,56.709999,56.950001,1945600,56.806804
2016-04-18,56.93,57.900002,56.75,57.77,2095300,57.624742
2016-04-19,57.950001,58.049999,57.209999,57.529999,1506600,57.385344
2016-04-20,57.509998,57.669998,57.049999,57.389999,2033300,57.245697
2016-04-21,57.630001,58.099998,57.200001,57.25,2286500,57.106049
2016-04-22,57.169998,57.389999,56.5,56.669998,2286300,56.527506
2016-04-25,56.689999,57.119999,56.139999,57.0,2073600,56.856678
2016-04-26,57.130001,57.84,56.869999,57.599998,1577900,57.455168
2016-04-27,57.59,58.310001,57.130001,58.209999,1918200,58.063635
2016-04-28,57.990002,58.23,57.310001,57.439999,2032500,57.29557
2016-04-29,56.939999,57.099998,56.07,56.779999,2940500,56.63723
2016-05-02,57.07,57.779999,56.68,57.59,1267900,57.445195
2016-05-03,57.279999,57.689999,56.66,57.299999,1499300,57.155923
2016-05-04,56.950001,57.799999,56.689999,57.639999,1661000,57.495068
2016-05-05,57.509998,57.900002,56.439999,56.470001,1897000,56.328012
2016-05-06,55.509998,57.09,55.509998,57.07,2074900,56.926502
2016-05-09,57.82,58.360001,56.919998,58.16,2305200,58.013761
2016-05-10,58.240002,58.5,57.23,57.560001,2393700,57.415271
2016-05-11,55.400002,55.830002,54.43,54.439999,5519400,54.303113
2016-05-12,54.540001,55.349998,53.869999,55.09,3635400,54.951481
2016-05-13,55.09,55.639999,54.279999,54.32,3385100,54.183416
2016-05-16,54.169998,55.93,54.0,55.740002,3181800,55.599848
2016-05-17,56.689999,57.209999,54.139999,54.52,4934200,54.382914
2016-05-18,54.119999,54.700001,53.34,54.310001,3216600,54.173443
2016-05-19,54.630001,55.860001,54.619999,55.52,5564900,55.3804
2016-05-20,52.049999,53.950001,52.0,52.490002,11595400,52.35802
2016-05-23,52.529999,53.049999,52.169998,52.400002,4340400,52.268246
2016-05-24,52.639999,53.549999,52.52,53.360001,3007700,53.225831
2016-05-25,53.290001,53.880001,52.82,53.41,2900800,53.275705
2016-05-26,53.709999,54.439999,53.540001,53.880001,2568400,53.744524
2016-05-27,54.07,54.23,53.59,53.919998,2254700,53.784421
2016-05-31,54.41,54.439999,53.060001,53.400002,3004400,53.265731
2016-06-01,53.470001,53.869999,53.259998,53.299999,2197100,53.165981
2016-06-02,53.34,53.77,53.200001,53.689999,2215900,53.554999
2016-06-03,53.470001,53.470001,52.869999,53.09,2590200,53.09
