Date,Open_MCO,High_MCO,Low_MCO,Close_MCO,Volume_MCO,AdjClose_MCO
2015-12-28,99.959999,100.739998,99.459999,100.660004,465600,99.819413
2015-12-29,101.32,101.690002,100.18,101.559998,545300,100.711891
2015-12-30,101.449997,102.129997,101.07,101.110001,516700,100.265652
2015-12-31,100.800003,101.860001,100.32,100.339996,596000,99.502078
2016-01-04,98.440002,98.699997,96.160004,97.220001,1688300,96.408137
2016-01-05,97.510002,99.089996,97.199997,98.57,1525200,97.746862
2016-01-06,96.900002,97.589996,96.0,96.809998,1294200,96.001558
2016-01-07,94.07,94.610001,92.099998,92.720001,2793000,91.945716
2016-01-08,93.199997,93.610001,89.980003,90.080002,2660000,89.327763
2016-01-11,90.919998,91.32,89.690002,90.860001,2065900,90.101248
2016-01-12,91.809998,91.860001,90.059998,91.169998,1938000,90.408657
2016-01-13,91.720001,91.889999,86.650002,87.110001,2799800,86.382563
2016-01-14,87.610001,88.800003,86.370003,88.120003,3387300,87.384131
2016-01-15,86.019997,86.709999,84.550003,85.989998,2836100,85.271913
2016-01-19,87.139999,87.980003,85.580002,86.43,1906500,85.708242
2016-01-20,84.860001,87.050003,82.089996,86.129997,2578600,85.410744
2016-01-21,86.57,87.610001,85.589996,85.800003,1295200,85.083505
2016-01-22,87.290001,88.459999,86.919998,88.419998,1111900,87.681621
2016-01-25,88.419998,88.93,86.610001,86.75,1241600,86.025569
2016-01-26,86.849998,88.529999,86.639999,88.330002,915800,87.592377
2016-01-27,88.150002,89.519997,87.589996,88.010002,2063700,87.275049
2016-01-28,88.769997,89.099998,86.790001,87.129997,1357900,86.402393
2016-01-29,88.089996,89.25,87.110001,89.139999,2451700,88.39561
2016-02-01,88.870003,89.199997,87.559998,88.010002,1302500,87.275049
2016-02-02,87.059998,87.059998,85.110001,85.629997,1428500,84.914919
2016-02-03,86.18,86.519997,83.209999,85.589996,1323500,84.875252
2016-02-04,85.440002,87.5,85.440002,87.110001,2635100,86.382563
2016-02-05,88.5,88.5,82.269997,83.699997,2488800,83.001036
2016-02-08,81.68,81.75,78.510002,79.379997,2781100,78.717112
2016-02-09,78.449997,80.580002,78.010002,80.029999,1702600,79.361685
2016-02-10,80.919998,82.839996,79.989998,80.07,1199200,79.401352
2016-02-11,78.230003,79.870003,77.760002,78.449997,2259200,77.794878
2016-02-12,79.800003,82.349998,79.260002,82.309998,1816200,81.622644
2016-02-16,83.839996,84.900002,82.32,83.720001,1548700,83.020873
2016-02-17,84.169998,85.93,83.68,85.720001,1361000,85.381515
2016-02-18,85.650002,86.199997,84.639999,85.730003,1155300,85.391477
2016-02-19,85.449997,85.970001,84.68,85.660004,1011100,85.321754
2016-02-22,86.470001,88.220001,86.239998,88.120003,1104700,87.772039
2016-02-23,87.529999,88.629997,86.669998,86.949997,1309600,86.606653
2016-02-24,85.900002,87.099998,83.709999,86.650002,1300700,86.307842
2016-02-25,86.720001,88.669998,86.720001,88.639999,1238900,88.289982
2016-02-26,88.349998,89.379997,88.139999,88.599998,915000,88.250139
2016-02-29,88.18,89.839996,87.949997,88.800003,1460000,88.449354
2016-03-01,89.57,93.230003,89.57,91.540001,3205900,91.178533
2016-03-02,90.879997,92.540001,90.82,92.300003,1449900,91.935534
2016-03-03,91.989998,95.019997,90.910004,94.860001,2190000,94.485422
2016-03-04,94.980003,95.75,94.080002,95.400002,1462300,95.023291
2016-03-07,94.480003,94.809998,93.599998,94.459999,1284300,94.087
