Date,Open_EL,High_EL,Low_EL,Close_EL,Volume_EL,AdjClose_EL
2015-12-10,86.510002,87.610001,86.050003,86.860001,2311000,86.294628
2015-12-11,85.57,86.169998,83.699997,84.5,2970900,83.949989
2015-12-14,84.550003,85.559998,84.150002,85.550003,2097100,84.993158
2015-12-15,86.18,88.0,86.120003,87.480003,2289100,86.910595
2015-12-16,87.879997,89.459999,87.230003,89.260002,2259100,88.679008
2015-12-17,89.769997,89.93,88.860001,89.209999,2147200,88.629331
2015-12-18,88.760002,88.879997,87.349998,87.410004,2237800,86.841051
2015-12-21,88.160004,88.540001,87.489998,88.209999,1294900,87.63584
2015-12-22,88.290001,88.849998,87.589996,88.650002,1274300,88.072978
2015-12-23,89.0,89.379997,88.769997,89.360001,669000,88.778356
2015-12-24,88.93,89.279999,88.32,88.800003,347000,88.222003
2015-12-28,88.389999,88.839996,88.129997,88.660004,636100,88.082915
2015-12-29,89.089996,89.629997,88.980003,89.400002,741900,88.818096
2015-12-30,89.339996,89.620003,89.010002,89.029999,858500,88.450502
2015-12-31,88.620003,89.150002,88.029999,88.059998,863100,87.486815
2016-01-04,86.93,87.239998,86.120003,87.209999,1722400,86.642349
2016-01-05,87.18,88.169998,86.910004,88.010002,1506000,87.437145
2016-01-06,87.059998,87.220001,84.739998,85.089996,2759400,84.536145
2016-01-07,83.519997,84.599998,83.010002,83.330002,2140400,82.787606
2016-01-08,83.699997,84.400002,82.68,82.82,1738500,82.280924
2016-01-11,83.370003,83.57,81.459999,82.879997,1968900,82.340531
2016-01-12,83.519997,84.269997,83.059998,84.230003,1445600,83.68175
2016-01-13,84.339996,84.82,82.809998,83.099998,1628300,82.5591
2016-01-14,83.32,84.949997,82.870003,84.279999,2003500,83.73142
2016-01-15,84.279999,84.279999,81.440002,82.349998,2146500,81.813982
2016-01-19,83.410004,84.129997,82.879997,83.879997,2122200,83.334022
2016-01-20,82.669998,83.550003,81.019997,82.93,2355600,82.390208
2016-01-21,83.410004,84.110001,81.919998,83.300003,1840300,82.757803
2016-01-22,84.510002,85.900002,84.279999,85.690002,1403700,85.132246
2016-01-25,84.629997,85.139999,83.370003,83.470001,2124300,82.926694
2016-01-26,84.389999,84.82,83.389999,83.589996,2090600,83.045909
2016-01-27,83.550003,83.82,81.949997,82.400002,2431100,81.863659
2016-01-28,82.900002,84.220001,82.889999,83.690002,1776400,83.145264
2016-01-29,84.110001,85.389999,83.980003,85.25,2067700,84.695107
2016-02-01,85.040001,85.93,84.309998,85.459999,2170500,84.903739
2016-02-02,84.550003,85.519997,84.550003,85.019997,1525500,84.466601
2016-02-03,85.360001,86.709999,84.080002,86.459999,2357500,85.89723
2016-02-04,85.779999,87.650002,85.769997,87.010002,3181000,86.443654
2016-02-05,87.389999,91.0,87.379997,90.989998,4459900,90.397743
2016-02-08,89.809998,91.110001,88.080002,89.629997,3844600,89.046595
2016-02-09,88.0,90.769997,87.989998,90.440002,3071700,89.851328
2016-02-10,90.410004,90.879997,88.32,88.470001,2727200,87.894149
2016-02-11,86.779999,87.25,86.0,86.739998,1858800,86.175407
2016-02-12,87.230003,88.370003,86.559998,88.309998,1604700,87.735187
2016-02-16,89.449997,90.309998,88.139999,88.620003,2201100,88.043175
2016-02-17,88.980003,90.900002,88.709999,90.07,1971000,89.483734
2016-02-18,89.980003,91.400002,89.419998,91.25,2093200,90.656053
2016-02-19,91.059998,91.639999,90.150002,91.629997,1346700,91.033577
2016-02-22,91.970001,92.5,91.349998,91.720001,1105600,91.122995
2016-02-23,91.480003,92.0,90.910004,91.720001,1054500,91.122995
2016-02-24,90.550003,92.199997,90.309998,92.019997,923200,91.421038
2016-02-25,92.220001,92.699997,91.160004,92.68,816400,92.377912
2016-02-26,92.919998,93.43,91.709999,91.790001,1042100,91.490813
2016-02-29,91.620003,92.160004,91.230003,91.330002,1122400,91.032314
2016-03-01,92.230003,92.800003,91.779999,92.400002,1064900,92.098826
2016-03-02,92.129997,92.760002,91.349998,91.849998,1577000,91.550615
2016-03-03,91.860001,92.400002,91.43,92.199997,1038700,91.899473
2016-03-04,92.610001,93.059998,91.790001,92.550003,981600,92.248338
2016-03-07,91.910004,92.389999,91.440002,91.629997,1022900,91.331331
2016-03-08,91.529999,91.959999,90.730003,91.739998,1977400,91.440973
2016-03-09,92.239998,93.099998,91.790001,92.199997,975000,91.899473
2016-03-10,92.199997,92.699997,90.949997,91.769997,955200,91.470874
2016-03-11,92.860001,93.269997,92.290001,93.110001,1061300,92.80651
2016-03-14,93.089996,94.559998,92.739998,93.830002,1320100,93.524165
2016-03-15,93.07,94.059998,92.989998,93.800003,1399800,93.494264
2016-03-16,91.800003,93.32,91.550003,93.110001,1638200,92.80651
2016-03-17,93.110001,94.129997,92.849998,93.949997,1027900,93.643769
2016-03-18,93.739998,94.5,93.209999,94.18,2028100,93.873022
2016-03-21,94.239998,94.639999,93.360001,94.129997,693700,93.823182
2016-03-22,93.650002,93.75,92.599998,93.18,1273600,92.876282
2016-03-23,93.489998,94.089996,93.25,93.379997,771900,93.075627
2016-03-24,93.190002,93.440002,92.660004,93.269997,621700,92.965985
2016-03-28,93.309998,93.900002,93.230003,93.599998,576800,93.294911
