Date,Open_FLS,High_FLS,Low_FLS,Close_FLS,Volume_FLS,AdjClose_FLS
2016-02-09,39.610001,40.41,39.34,39.59,1212500,39.430668
2016-02-10,39.439999,40.200001,38.869999,39.220001,917900,39.062158
2016-02-11,38.400002,40.07,38.040001,39.810001,1591600,39.649783
2016-02-12,40.360001,41.549999,40.110001,40.82,1105500,40.655717
2016-02-16,41.380001,41.959999,40.52,41.93,1364300,41.76125
2016-02-17,42.200001,43.419998,42.07,43.189999,1574400,43.016178
2016-02-18,43.220001,43.349998,42.630001,43.150002,1238400,42.976342
2016-02-19,42.240002,42.240002,40.52,41.389999,2349500,41.223423
2016-02-22,41.68,43.299999,41.509998,43.299999,1626000,43.125736
2016-02-23,43.02,43.599998,42.209999,42.220001,1001300,42.050084
2016-02-24,41.5,41.98,40.669998,41.91,1353900,41.74133
2016-02-25,42.119999,42.360001,41.240002,41.610001,1717400,41.442538
2016-02-26,42.189999,42.84,41.630001,42.290001,1364700,42.119802
2016-02-29,42.240002,42.700001,42.0,42.02,1431100,41.850888
2016-03-01,42.630001,43.099998,41.91,42.830002,1064300,42.65763
2016-03-02,42.700001,43.16,42.470001,43.119999,1525100,42.94646
2016-03-03,43.060001,43.68,42.91,43.509998,1105000,43.334889
2016-03-04,43.73,44.66,43.330002,44.130001,767500,43.952397
2016-03-07,44.080002,45.639999,43.830002,45.619999,1206200,45.436398
2016-03-08,45.099998,45.130001,43.990002,44.02,1582000,43.842839
2016-03-09,44.360001,44.360001,43.75,43.950001,506800,43.773121
2016-03-10,43.970001,43.990002,43.130001,43.900002,1001100,43.723323
2016-03-11,44.470001,45.23,44.349998,45.18,887100,44.99817
2016-03-14,44.790001,45.540001,44.560001,45.18,1345600,44.99817
2016-03-15,44.639999,44.639999,43.52,43.91,800800,43.733281
2016-03-16,43.91,44.939999,43.619999,44.610001,1948300,44.430465
2016-03-17,44.779999,46.200001,44.779999,45.98,2013600,45.79495
2016-03-18,46.290001,47.110001,46.209999,46.810001,1581800,46.621611
2016-03-21,46.580002,47.32,46.580002,47.209999,911100,47.019999
2016-03-22,46.689999,47.220001,46.369999,46.68,812100,46.68
2016-03-23,46.380001,46.470001,44.450001,44.459999,1465900,44.459999
2016-03-24,43.959999,44.139999,43.330002,44.139999,1953200,44.139999
2016-03-28,44.18,44.23,43.450001,43.91,765200,43.91
2016-03-29,43.599998,44.189999,43.009998,44.130001,958300,44.130001
2016-03-30,44.540001,44.66,43.689999,44.040001,1453200,44.040001
