Date,Open_SLB,High_SLB,Low_SLB,Close_SLB,Volume_SLB,AdjClose_SLB
2015-11-20,77.919998,78.129997,76.230003,77.150002,8480500,75.605817
2015-11-23,76.690002,77.419998,76.309998,77.220001,5859600,75.674415
2015-11-24,77.510002,78.980003,77.050003,78.18,6960500,76.6152
2015-11-25,77.43,78.5,76.459999,77.529999,4055400,75.978208
2015-11-27,76.790001,77.5,76.440002,77.330002,3147300,75.782214
2015-11-30,77.089996,77.870003,76.82,77.150002,7979400,76.097847
2015-12-01,76.809998,78.220001,76.5,78.169998,8172200,77.103933
2015-12-02,77.389999,78.199997,75.620003,75.809998,9595000,74.776117
2015-12-03,76.459999,76.620003,74.139999,74.809998,8292700,73.789755
2015-12-04,73.830002,75.059998,73.160004,74.709999,8605300,73.69112
2015-12-07,72.650002,73.279999,72.07,72.800003,10563000,71.807173
2015-12-08,71.220001,72.989998,69.699997,71.5,8305200,70.524899
2015-12-09,72.099998,74.050003,71.419998,72.120003,9310300,71.136446
2015-12-10,71.790001,73.230003,71.400002,71.480003,7200900,70.505175
2015-12-11,71.480003,71.480003,69.720001,69.82,9436100,68.86781
2015-12-14,69.379997,70.529999,69.110001,70.019997,11322500,69.065079
2015-12-15,71.0,72.129997,70.559998,71.839996,10481100,70.860258
2015-12-16,71.5,72.300003,70.769997,71.220001,7865600,70.248718
2015-12-17,71.110001,71.470001,69.139999,69.199997,8278600,68.256263
2015-12-18,69.040001,69.169998,67.330002,67.339996,15152600,66.421628
2015-12-21,67.440002,68.339996,67.150002,67.949997,7861300,67.02331
2015-12-22,68.419998,69.769997,68.169998,69.489998,7950900,68.542308
2015-12-23,70.610001,71.040001,69.980003,71.010002,7757700,70.041583
2015-12-24,70.900002,71.209999,70.370003,70.529999,2968800,69.568126
2015-12-28,69.519997,70.449997,69.029999,70.419998,6616900,69.459626
2015-12-29,71.68,71.849998,69.900002,70.510002,6987000,69.548402
2015-12-30,69.410004,70.529999,69.379997,69.639999,5744600,68.690264
2015-12-31,69.370003,70.379997,69.0,69.75,5271100,68.798765
2016-01-04,69.449997,70.019997,67.959999,69.18,9160200,68.236539
2016-01-05,69.339996,69.839996,68.089996,69.5,6783600,68.552174
2016-01-06,67.919998,69.400002,67.470001,67.699997,11923000,66.776719
2016-01-07,66.230003,67.760002,65.800003,66.190002,12041000,65.287318
2016-01-08,66.360001,66.809998,64.889999,65.080002,9657900,64.192455
2016-01-11,65.190002,65.470001,63.790001,64.830002,8693100,63.945864
2016-01-12,65.949997,66.110001,63.189999,64.739998,10189000,63.857088
2016-01-13,65.599998,66.349998,63.509998,63.950001,12729900,63.077865
2016-01-14,64.360001,65.349998,61.75,64.68,13814700,63.797909
2016-01-15,62.060001,63.830002,61.709999,63.009998,14702300,62.150682
2016-01-19,63.16,64.300003,62.049999,62.82,11463500,61.963274
2016-01-20,61.400002,62.27,59.599998,61.060001,16075400,60.227278
2016-01-21,61.209999,63.470001,60.369999,61.450001,12999400,60.611959
2016-01-22,64.519997,66.25,62.970001,65.199997,19387700,64.310814
2016-01-25,63.900002,66.129997,63.23,63.299999,13865300,62.436728
2016-01-26,64.389999,65.769997,63.419998,65.330002,13829900,64.439046
2016-01-27,65.339996,67.129997,64.580002,65.550003,12629000,64.656046
2016-01-28,68.230003,69.599998,67.239998,69.510002,16450700,68.56204
2016-01-29,69.980003,72.5,69.57,72.269997,18255300,71.284394
2016-02-01,71.120003,71.669998,70.040001,71.459999,12047100,70.485443
2016-02-02,69.32,69.980003,68.370003,68.839996,13600800,67.901172
2016-02-03,70.029999,70.860001,67.639999,70.830002,12837100,69.864038
2016-02-04,71.529999,72.870003,70.309998,70.540001,10892700,69.577992
2016-02-05,69.739998,70.07,68.089996,68.809998,16470500,67.871582
2016-02-08,68.029999,70.260002,67.339996,69.779999,12547500,68.828354
2016-02-09,68.910004,69.709999,67.0,67.800003,11138200,66.875361
2016-02-10,67.769997,68.949997,67.389999,67.730003,8324500,66.806316
2016-02-11,66.300003,69.449997,66.099998,68.830002,12122900,67.891313
2016-02-12,68.879997,70.809998,68.769997,70.309998,10756300,69.858598
2016-02-16,71.349998,72.239998,70.389999,71.75,9571800,71.289355
2016-02-17,72.550003,73.690002,72.169998,72.93,10132100,72.46178
2016-02-18,73.730003,73.730003,72.32,72.68,8123700,72.213385
2016-02-19,71.970001,72.889999,71.779999,72.870003,8339000,72.402167
2016-02-22,73.82,74.629997,73.580002,74.370003,7649900,73.892537
2016-02-23,73.879997,74.769997,71.860001,72.080002,8201900,71.617238
2016-02-24,70.889999,72.32,70.400002,72.209999,7857700,71.746401
2016-02-25,71.93,72.349998,70.650002,72.349998,6358300,71.885502
2016-02-26,73.120003,73.610001,72.199997,72.470001,6000700,72.004734
2016-02-29,72.349998,73.389999,71.690002,71.720001,7726100,71.259549
2016-03-01,72.459999,74.059998,72.279999,74.010002,8321000,73.534848
2016-03-02,73.470001,74.440002,72.470001,74.410004,8584000,73.932281
2016-03-03,74.040001,74.970001,73.779999,74.849998,7811500,74.369451
2016-03-04,75.110001,76.010002,73.809998,74.830002,11415900,74.349583
2016-03-07,74.309998,76.160004,73.25,76.160004,9614000,75.671046
2016-03-08,75.260002,75.720001,72.68,72.699997,8727100,72.233253
2016-03-09,73.75,73.93,72.599998,72.75,6966600,72.282935
2016-03-10,72.800003,73.349998,72.120003,73.18,7058400,72.710175
2016-03-11,73.900002,75.139999,73.309998,75.0,8054500,74.51849
2016-03-14,73.970001,74.370003,73.010002,73.440002,5949500,72.968508
2016-03-15,72.480003,73.25,71.940002,73.230003,6815400,72.759857
2016-03-16,73.68,73.849998,72.160004,73.349998,7173100,72.879082
2016-03-17,74.110001,75.0,73.540001,74.540001,7072100,74.061444
2016-03-18,75.010002,75.010002,73.269997,73.519997,9549100,73.047988
2016-03-21,72.370003,75.040001,72.18,74.889999,7508500,74.409195
2016-03-22,74.050003,75.230003,73.540001,73.610001,6230700,73.137414
2016-03-23,73.040001,73.519997,72.629997,72.959999,5923600,72.491586
