Date,Open_PEG,High_PEG,Low_PEG,Close_PEG,Volume_PEG,AdjClose_PEG
2015-08-27,40.509998,40.950001,40.23,40.939999,2767400,39.756419
2015-08-28,40.810001,40.880001,39.740002,40.52,3941100,39.348563
2015-08-31,40.360001,40.490002,39.639999,40.25,4389100,39.086368
2015-09-01,39.73,39.939999,38.66,38.98,5049800,37.853084
2015-09-02,39.32,39.419998,38.599998,38.950001,4058200,37.823952
2015-09-03,39.16,39.580002,39.0,39.360001,2743600,38.222099
2015-09-04,38.639999,38.82,38.16,38.360001,2545000,37.623805
2015-09-08,38.869999,39.189999,38.619999,39.099998,2799600,38.349601
2015-09-09,39.419998,39.419998,38.560001,38.639999,2847900,37.89843
2015-09-10,38.639999,39.279999,38.580002,38.880001,2914100,38.133826
2015-09-11,38.700001,39.330002,38.57,39.32,3014400,38.56538
2015-09-14,39.32,39.709999,39.16,39.299999,1871500,38.545764
2015-09-15,39.360001,39.630001,39.060001,39.59,2438500,38.830199
2015-09-16,39.57,40.299999,39.450001,40.150002,2211200,39.379453
2015-09-17,40.119999,41.16,39.810001,40.599998,2867200,39.820814
2015-09-18,40.599998,40.880001,40.259998,40.34,4978700,39.565805
2015-09-21,40.59,40.849998,40.330002,40.610001,4031800,39.830624
2015-09-22,40.450001,40.740002,39.540001,39.669998,5109900,38.908662
2015-09-23,39.73,40.150002,39.509998,39.939999,3038700,39.17348
2015-09-24,39.77,40.279999,39.68,40.150002,4995500,39.379453
2015-09-25,40.389999,41.380001,40.080002,40.889999,4223400,40.105249
2015-09-28,40.810001,41.049999,40.310001,40.59,4409800,39.811007
2015-09-29,40.580002,41.139999,40.560001,40.91,3642800,40.124866
2015-09-30,41.119999,42.18,40.98,42.16,4322000,41.350876
2015-10-01,42.16,42.290001,41.130001,41.34,3751700,40.546614
2015-10-02,41.619999,42.349998,41.310001,42.349998,3113900,41.537228
2015-10-05,42.490002,42.84,42.27,42.73,2713200,41.909936
2015-10-06,42.68,42.939999,42.18,42.880001,3332100,42.057059
2015-10-07,42.919998,43.0,42.23,42.330002,3425100,41.517615
2015-10-08,42.200001,42.950001,42.029999,42.900002,3222000,42.076676
2015-10-09,42.900002,43.0,42.130001,42.299999,2434500,41.488189
2015-10-12,42.389999,42.860001,42.360001,42.700001,1977000,41.880513
2015-10-13,42.700001,42.98,42.41,42.529999,2422300,41.713774
2015-10-14,42.599998,42.98,42.459999,42.669998,2139100,41.851087
2015-10-15,42.700001,43.419998,42.549999,43.34,2374800,42.50823
2015-10-16,43.57,43.779999,43.279999,43.470001,2250000,42.635736
2015-10-19,43.459999,43.939999,43.200001,43.889999,3080000,43.047674
2015-10-20,43.740002,44.18,43.419998,43.560001,4403100,42.724009
2015-10-21,43.73,44.09,43.110001,43.18,2705900,42.351301
2015-10-22,43.380001,43.84,43.299999,43.619999,3987900,42.782855
2015-10-23,43.470001,43.610001,42.549999,42.66,3281300,41.84128
2015-10-26,42.810001,42.849998,41.75,41.84,5431100,41.037018
2015-10-27,41.84,42.049999,41.57,41.779999,2769000,40.978168
2015-10-28,41.919998,42.060001,40.91,41.389999,2282600,40.595653
2015-10-29,41.200001,41.48,40.52,41.439999,4601900,40.644693
2015-10-30,40.84,41.52,40.5,41.290001,5091200,40.497574
2015-11-02,41.240002,41.790001,40.470001,40.619999,6400000,39.84043
2015-11-03,40.560001,41.139999,40.400002,41.02,2794400,40.232755
2015-11-04,40.860001,41.209999,40.790001,41.09,2396500,40.301411
2015-11-05,41.009998,41.290001,40.669998,40.689999,2634900,39.909087
2015-11-06,40.220001,40.220001,38.52,38.66,4890800,37.918047
2015-11-09,38.630001,39.009998,38.189999,38.77,4190500,38.025937
2015-11-10,38.82,39.23,38.740002,38.91,2145800,38.163249
2015-11-11,39.099998,39.290001,38.93,39.150002,2200700,38.398645
2015-11-12,39.07,39.529999,38.779999,38.98,2549600,38.231905
2015-11-13,39.110001,39.360001,38.860001,39.060001,3239800,38.310372
2015-11-16,39.09,39.880001,38.950001,39.880001,2416300,39.114634
2015-11-17,39.779999,40.029999,38.82,39.009998,2739100,38.261329
2015-11-18,38.990002,39.049999,38.139999,38.98,5575200,38.231905
2015-11-19,39.080002,39.650002,38.900002,39.52,2945800,38.761543
2015-11-20,39.66,40.099998,39.549999,39.669998,2872500,38.908662
2015-11-23,39.669998,39.93,39.41,39.5,1785600,38.741926
2015-11-24,39.200001,39.330002,38.880001,39.189999,2589400,38.437874
2015-11-25,39.119999,39.169998,38.689999,38.98,2357800,38.231905
