Date,Open_DGX,High_DGX,Low_DGX,Close_DGX,Volume_DGX,AdjClose_DGX
2016-04-08,72.589996,72.790001,72.080002,72.349998,869400,72.349998
2016-04-11,72.510002,72.809998,72.080002,72.650002,622800,72.650002
2016-04-12,72.889999,73.199997,72.389999,72.849998,729700,72.849998
2016-04-13,73.360001,73.5,72.900002,73.220001,945300,73.220001
2016-04-14,73.279999,74.419998,72.949997,73.949997,786800,73.949997
2016-04-15,74.07,74.510002,73.610001,74.449997,740200,74.449997
2016-04-18,74.400002,75.07,74.029999,74.75,809300,74.75
2016-04-19,75.07,75.199997,74.059998,74.370003,792100,74.370003
2016-04-20,74.25,75.029999,73.730003,74.720001,942600,74.720001
2016-04-21,74.93,75.800003,73.209999,75.0,1202900,75.0
2016-04-22,75.139999,75.5,74.400002,75.300003,1008200,75.300003
2016-04-25,75.440002,75.5,74.279999,75.360001,1126700,75.360001
2016-04-26,75.540001,76.0,75.269997,75.699997,766800,75.699997
2016-04-27,75.540001,76.0,75.269997,75.720001,960200,75.720001
2016-04-28,75.339996,76.199997,75.139999,75.330002,720300,75.330002
2016-04-29,75.379997,76.139999,74.559998,75.169998,1125700,75.169998
2016-05-02,75.589996,75.849998,74.910004,75.150002,1091500,75.150002
2016-05-03,74.550003,75.010002,74.040001,74.839996,755400,74.839996
2016-05-04,74.5,75.18,74.18,74.989998,971700,74.989998
2016-05-05,75.099998,75.690002,74.779999,75.510002,988300,75.510002
2016-05-06,75.169998,76.0,75.150002,75.779999,984700,75.779999
2016-05-09,75.699997,76.879997,75.639999,76.540001,1076300,76.540001
2016-05-10,76.650002,76.650002,75.620003,76.309998,804800,76.309998
2016-05-11,76.260002,76.910004,76.07,76.230003,776200,76.230003
2016-05-12,76.300003,76.519997,75.099998,75.720001,817700,75.720001
2016-05-13,75.769997,76.32,75.379997,75.949997,1250600,75.949997
2016-05-16,76.0,76.830002,75.959999,76.800003,922200,76.800003
2016-05-17,76.800003,77.110001,75.849998,76.169998,1187900,76.169998
2016-05-18,76.110001,77.010002,75.360001,76.730003,1007700,76.730003
2016-05-19,76.580002,77.230003,75.769997,76.160004,617600,76.160004
2016-05-20,76.389999,76.739998,75.860001,76.519997,1152700,76.519997
2016-05-23,76.519997,76.519997,75.489998,76.099998,1280500,76.099998
2016-05-24,76.580002,77.75,75.620003,77.620003,945100,77.620003
2016-05-25,77.68,78.099998,77.089996,77.370003,1203100,77.370003
2016-05-26,77.330002,77.589996,76.489998,77.239998,986200,77.239998
2016-05-27,77.360001,77.620003,77.0,77.209999,1217800,77.209999
2016-05-31,77.360001,78.059998,76.889999,77.169998,1654200,77.169998
2016-06-01,76.800003,77.540001,76.629997,77.279999,888800,77.279999
2016-06-02,77.010002,78.220001,77.010002,78.220001,1141700,78.220001
2016-06-03,78.199997,78.230003,76.959999,77.269997,1562600,77.269997
