Date,Open_AIV,High_AIV,Low_AIV,Close_AIV,Volume_AIV,AdjClose_AIV
2015-11-10,36.220001,36.82,36.209999,36.470001,1824200,35.561517
2015-11-11,36.509998,37.110001,36.43,36.84,660600,35.922299
2015-11-12,36.77,36.970001,36.529999,36.560001,931500,35.649275
2015-11-13,36.41,36.84,36.110001,36.349998,1474900,35.444504
2015-11-16,36.16,36.540001,35.880001,36.529999,1090100,35.916443
2015-11-17,36.400002,37.060001,36.27,36.720001,1084000,36.103255
2015-11-18,36.860001,36.970001,36.34,36.82,851900,36.201573
2015-11-19,36.93,37.299999,36.790001,36.98,974800,36.358886
2015-11-20,37.23,37.650002,37.18,37.560001,1260300,36.929146
2015-11-23,37.5,37.959999,37.48,37.66,592500,37.027465
2015-11-24,37.48,37.630001,37.049999,37.369999,967000,36.742335
2015-11-25,37.439999,37.919998,37.34,37.849998,745000,37.214272
2015-11-27,37.82,38.5,37.82,38.419998,573500,37.774698
2015-11-30,38.459999,38.779999,38.049999,38.110001,1526100,37.469908
2015-12-01,38.279999,38.790001,38.169998,38.77,854400,38.118822
2015-12-02,38.650002,38.900002,38.0,38.110001,1082600,37.469908
2015-12-03,37.939999,38.130001,37.439999,37.490002,1628100,36.860322
2015-12-04,37.630001,38.810001,37.43,38.73,1261400,38.079493
2015-12-07,38.560001,38.77,38.290001,38.380001,1043800,37.735373
2015-12-08,38.189999,38.549999,38.060001,38.450001,1082500,37.804197
2015-12-09,38.200001,38.630001,37.919998,38.27,1112100,37.62722
2015-12-10,38.25,38.400002,37.619999,37.619999,985200,36.988136
2015-12-11,37.360001,37.93,37.169998,37.619999,1480100,36.988136
2015-12-14,37.52,37.900002,37.34,37.849998,1034100,37.214272
2015-12-15,38.450001,38.990002,38.240002,38.490002,1556100,37.843526
2015-12-16,38.950001,39.939999,38.849998,39.779999,1450300,39.111857
2015-12-17,39.77,39.889999,39.330002,39.529999,1472300,38.866056
2015-12-18,39.470001,39.869999,39.369999,39.389999,2652100,38.728408
2015-12-21,39.639999,39.82,39.18,39.52,1203200,38.856225
2015-12-22,39.560001,39.93,39.470001,39.52,1097800,38.856225
2015-12-23,39.57,39.75,39.490002,39.700001,811700,39.033202
2015-12-24,39.709999,39.75,39.439999,39.619999,275800,38.954544
2015-12-28,39.619999,39.869999,39.470001,39.82,1023800,39.151186
2015-12-29,40.0,40.360001,39.84,40.360001,843500,39.682117
2015-12-30,40.32,40.68,40.150002,40.360001,709300,39.682117
2015-12-31,40.419998,40.490002,40.009998,40.029999,856400,39.357658
2016-01-04,39.470001,39.66,39.169998,39.650002,1140000,38.984043
2016-01-05,39.779999,40.84,39.599998,40.66,1692400,39.977077
2016-01-06,40.369999,40.689999,40.009998,40.200001,1008900,39.524804
2016-01-07,39.759998,40.099998,39.669998,39.970001,1580200,39.298668
2016-01-08,40.02,40.169998,39.119999,39.209999,849700,38.551431
2016-01-11,39.290001,39.700001,38.82,39.459999,1167500,38.797232
2016-01-12,39.669998,39.720001,38.860001,39.18,1286700,38.521936
2016-01-13,39.200001,39.490002,38.400002,38.439999,1693200,37.794363
2016-01-14,38.560001,38.799999,37.759998,37.810001,1858900,37.174947
2016-01-15,37.220001,37.939999,37.009998,37.810001,1780300,37.174947
2016-01-19,38.16,40.240002,37.98,38.240002,1805300,37.597725
2016-01-20,38.02,38.470001,36.619999,36.959999,2282700,36.339221
2016-01-21,37.16,37.470001,36.509998,36.950001,1603600,36.329391
2016-01-22,37.279999,37.959999,36.950001,37.759998,883800,37.125784
2016-01-25,37.720001,38.240002,37.490002,37.669998,1210800,37.037295
