Date,Open_CB,High_CB,Low_CB,Close_CB,Volume_CB,AdjClose_CB
2015-11-10,112.459999,113.589996,112.370003,113.550003,1234700,112.911865
2015-11-11,113.239998,113.809998,112.879997,113.370003,1572600,112.732877
2015-11-12,112.900002,113.220001,111.410004,111.43,1786200,110.803777
2015-11-13,111.489998,112.550003,111.360001,111.849998,1734100,111.221415
2015-11-16,111.709999,113.760002,111.650002,113.760002,1756100,113.120684
2015-11-17,113.540001,114.480003,113.379997,113.480003,2208300,112.842259
2015-11-18,113.410004,115.410004,113.410004,115.339996,1173100,114.691799
2015-11-19,114.900002,115.860001,114.900002,115.57,1547100,114.92051
2015-11-20,116.029999,117.0,115.730003,116.480003,2154300,115.825399
2015-11-23,116.639999,116.919998,115.959999,116.040001,2702800,115.38787
2015-11-24,115.330002,116.110001,114.860001,115.559998,2060900,114.910564
2015-11-25,115.57,115.739998,114.879997,115.050003,1335100,114.403435
2015-11-27,115.0,115.32,114.529999,115.059998,644700,114.413374
2015-11-30,115.349998,115.669998,114.559998,114.849998,2126500,114.204555
2015-12-01,114.629997,116.220001,114.540001,116.129997,1879200,115.47736
2015-12-02,115.839996,116.400002,115.190002,115.379997,1956400,114.731575
2015-12-03,115.949997,115.949997,113.379997,113.769997,2208900,113.130623
2015-12-04,114.089996,117.980003,114.0,117.660004,2598800,116.998768
2015-12-07,117.080002,117.519997,116.690002,117.129997,2654300,116.47174
2015-12-08,116.580002,116.580002,115.379997,115.949997,2222300,115.298371
2015-12-09,115.230003,116.370003,114.239998,114.889999,3025000,114.244331
2015-12-10,115.120003,115.550003,113.650002,114.730003,2482600,114.085234
2015-12-11,113.449997,115.32,112.779999,113.080002,2390900,112.444505
2015-12-14,113.480003,115.0,112.830002,114.099998,3757400,113.45877
2015-12-15,114.790001,116.370003,114.699997,115.800003,2752800,115.149221
2015-12-16,116.580002,117.400002,115.419998,116.900002,2471800,116.243037
2015-12-17,117.019997,117.160004,115.550003,115.599998,1674600,114.95034
2015-12-18,115.32,115.68,113.690002,113.690002,3513500,113.051078
2015-12-21,114.269997,115.489998,113.550003,115.239998,1924300,114.592362
2015-12-22,115.599998,117.440002,115.470001,117.230003,1625300,116.571184
2015-12-23,117.510002,118.080002,117.239998,117.980003,1360900,117.316969
2015-12-24,117.699997,118.779999,117.629997,118.190002,568600,117.525788
2015-12-28,117.940002,118.349998,117.459999,118.260002,924200,117.595395
2015-12-29,118.379997,119.540001,117.769997,119.470001,1624200,118.798594
2015-12-30,119.309998,119.860001,118.07,118.199997,1720500,117.535727
2015-12-31,117.709999,118.040001,116.730003,116.849998,1626200,116.193315
2016-01-04,115.019997,115.410004,112.519997,113.730003,3094500,113.090854
2016-01-05,114.230003,115.410004,113.769997,114.879997,2743300,114.234385
2016-01-06,113.739998,113.839996,112.230003,112.739998,2288200,112.106412
2016-01-07,110.660004,112.910004,110.410004,111.580002,3919600,110.952935
2016-01-08,112.199997,112.379997,109.720001,109.959999,2271500,109.342037
2016-01-11,110.290001,110.790001,108.93,110.290001,2454900,109.670184
2016-01-12,111.029999,112.360001,110.059998,112.099998,2913200,111.47001
2016-01-13,113.260002,113.730003,109.949997,110.059998,4265200,109.441473
2016-01-14,110.440002,112.349998,109.809998,111.019997,13089100,110.396077
2016-01-15,110.809998,111.0,107.099998,109.379997,6885700,108.765294
2016-01-19,110.959999,111.68,109.050003,110.870003,5347900,110.246926
2016-01-20,110.0,111.599998,108.190002,110.690002,6027400,110.067938
2016-01-21,110.190002,111.099998,108.190002,109.43,3970800,108.815016
2016-01-22,109.699997,110.970001,109.480003,110.040001,2296000,109.421589
2016-01-25,109.949997,109.989998,107.82,108.0,2985000,107.393053
2016-01-26,108.510002,109.760002,108.0,108.580002,2669500,107.969795
2016-01-27,108.150002,109.910004,107.07,108.099998,3433200,107.492489
2016-01-28,108.550003,109.839996,108.419998,109.519997,3313800,108.904507
2016-01-29,110.18,113.169998,110.0,113.07,4205800,112.434559
2016-02-01,112.269997,113.720001,111.830002,113.279999,2824100,112.643378
2016-02-02,112.050003,113.010002,111.900002,112.470001,2200000,111.837933
2016-02-03,113.18,113.209999,110.57,112.830002,2110100,112.19591
2016-02-04,112.260002,113.379997,111.580002,113.220001,2777300,112.583718
2016-02-05,113.0,113.339996,111.779999,112.25,2718400,111.619168
2016-02-08,111.629997,111.629997,107.940002,108.889999,4743000,108.27805
2016-02-09,106.82,111.230003,106.82,110.580002,2312300,109.958555
2016-02-10,111.809998,112.269997,110.620003,111.690002,2431700,111.062318
2016-02-11,109.699997,111.470001,109.360001,110.839996,2159700,110.217088
2016-02-12,112.0,114.360001,111.699997,114.309998,1884200,113.667589
2016-02-16,115.239998,116.440002,114.019997,115.669998,2931800,115.019946
2016-02-17,116.239998,117.370003,115.709999,116.910004,1864900,116.252983
2016-02-18,116.910004,117.470001,115.830002,116.360001,2208000,115.706071
2016-02-19,115.690002,116.519997,115.07,115.669998,2102400,115.019946
2016-02-22,116.830002,117.68,116.129997,117.089996,1281500,116.431964
2016-02-23,116.629997,116.739998,115.489998,115.699997,1316800,115.049776
2016-02-24,114.580002,116.5,114.580002,116.18,1312100,115.527082
2016-02-25,116.730003,118.440002,116.529999,118.389999,2264600,117.724661
2016-02-26,119.239998,119.860001,117.480003,117.510002,1671200,116.84961
2016-02-29,117.0,117.629997,115.480003,115.529999,1842700,114.880734
2016-03-01,116.0,117.709999,115.300003,117.709999,1833200,117.048483
