Date,Open_LB,High_LB,Low_LB,Close_LB,Volume_LB,AdjClose_LB
2015-10-29,95.360001,95.529999,93.540001,94.720001,1075900,90.459948
2015-10-30,94.559998,96.650002,94.019997,95.980003,1439800,91.663281
2015-11-02,95.769997,96.839996,94.449997,96.449997,1869900,92.112137
2015-11-03,98.5,100.080002,98.0,99.379997,2301600,94.91036
2015-11-04,101.110001,101.110001,99.68,100.220001,2209500,95.712585
2015-11-05,100.419998,100.669998,98.449997,99.120003,2109700,94.662059
2015-11-06,98.769997,99.589996,96.540001,96.879997,1988100,92.522798
2015-11-09,95.5,95.650002,92.120003,93.690002,4272800,89.476274
2015-11-10,93.68,95.260002,93.529999,95.150002,1544400,90.870609
2015-11-11,94.93,94.949997,92.260002,92.800003,1567700,88.626302
2015-11-12,92.129997,93.709999,91.809998,93.019997,1788000,88.836402
2015-11-13,91.480003,92.029999,89.93,90.589996,2933400,86.515691
2015-11-16,90.290001,91.519997,89.449997,91.470001,1876100,87.356118
2015-11-17,91.699997,92.650002,89.75,90.82,2145600,86.73535
2015-11-18,90.449997,92.419998,89.830002,92.230003,2649500,88.569552
2015-11-19,91.230003,93.839996,90.040001,92.129997,2800300,88.473515
2015-11-20,92.830002,94.709999,92.830002,93.940002,1702700,90.211684
2015-11-23,93.940002,95.650002,93.940002,95.059998,1641500,91.287229
2015-11-24,94.230003,97.209999,94.230003,96.879997,1537900,93.034996
2015-11-25,97.220001,97.769997,96.199997,96.82,1107700,92.97738
2015-11-27,97.059998,97.43,95.790001,96.68,566600,92.842936
2015-11-30,97.010002,97.580002,94.900002,95.410004,1978200,91.623344
2015-12-01,95.839996,96.400002,95.150002,96.029999,1321800,92.218732
2015-12-02,96.32,96.699997,95.5,96.099998,1383700,92.285954
2015-12-03,96.519997,97.669998,94.93,95.870003,1437200,92.065086
2015-12-04,96.040001,99.589996,96.040001,99.470001,1692700,95.522207
2015-12-07,99.410004,99.489998,97.709999,98.25,1809800,94.350626
2015-12-08,97.57,98.720001,97.099998,98.260002,1539500,94.360231
2015-12-09,98.0,99.830002,96.93,97.639999,1709800,93.764835
2015-12-10,97.989998,99.269997,97.690002,97.860001,1387400,93.976105
2015-12-11,97.099998,97.970001,96.150002,96.559998,973200,92.727696
2015-12-14,96.830002,97.800003,95.809998,97.209999,958200,93.351901
2015-12-15,98.0,98.980003,96.970001,96.970001,1169900,93.121428
2015-12-16,97.730003,98.720001,96.980003,98.349998,831500,94.446655
2015-12-17,98.349998,98.669998,96.550003,96.580002,1153600,92.746907
