Date,Open_CLX,High_CLX,Low_CLX,Close_CLX,Volume_CLX,AdjClose_CLX
2016-02-23,128.399994,129.229996,128.350006,128.850006,691600,128.065142
2016-02-24,127.730003,130.350006,127.610001,130.240005,1096600,129.446675
2016-02-25,130.5,131.5,130.110001,131.449997,907400,130.649296
2016-02-26,130.589996,131.179993,127.300003,127.82,1136400,127.04141
2016-02-29,127.650002,128.199997,126.419998,126.419998,1104300,125.649936
2016-03-01,126.57,127.169998,124.769997,125.470001,1644900,124.705726
2016-03-02,125.199997,126.199997,124.150002,126.059998,1304300,125.292129
2016-03-03,126.050003,126.050003,124.400002,125.589996,1062200,124.82499
2016-03-04,125.629997,126.059998,124.68,125.610001,1359200,124.844873
2016-03-07,125.400002,125.5,123.0,123.459999,1288900,122.707968
2016-03-08,123.349998,126.860001,122.769997,125.470001,1412400,124.705726
2016-03-09,125.849998,126.669998,124.989998,125.220001,1034500,124.457249
2016-03-10,125.720001,126.57,124.910004,125.510002,928500,124.745483
2016-03-11,126.129997,126.760002,125.309998,126.449997,1021500,125.679753
2016-03-14,126.449997,126.949997,125.57,125.940002,946900,125.172865
2016-03-15,125.510002,127.089996,125.300003,126.699997,787200,125.92823
2016-03-16,125.860001,128.169998,125.639999,127.400002,1116100,126.62397
2016-03-17,127.190002,128.190002,126.940002,127.580002,838900,126.802874
2016-03-18,127.599998,128.199997,126.330002,127.410004,3776600,126.633912
2016-03-21,127.410004,128.190002,126.529999,127.449997,863600,126.673661
2016-03-22,127.449997,127.940002,126.0,126.32,831400,125.550547
2016-03-23,126.400002,127.879997,126.32,127.080002,815800,126.30592
2016-03-24,126.910004,127.580002,126.199997,126.559998,874000,125.789083
2016-03-28,126.760002,128.139999,126.760002,127.550003,571800,126.773058
2016-03-29,128.039993,128.75,127.389999,128.0,632900,127.220314
2016-03-30,128.149994,128.440002,127.190002,127.970001,924700,127.190498
2016-03-31,127.709999,128.229996,125.790001,126.059998,1574600,125.292129
2016-04-01,124.75,127.5,124.279999,127.379997,1196500,126.604088
2016-04-04,127.489998,128.149994,126.610001,127.639999,1054000,126.862506
2016-04-05,128.009995,129.330002,127.589996,128.070007,1503000,127.289895
2016-04-06,128.039993,129.589996,127.910004,129.410004,1019400,128.621729
2016-04-07,129.050003,129.070007,128.169998,128.660004,846000,127.876297
2016-04-08,129.0,129.5,127.870003,128.529999,750500,127.747084
2016-04-11,128.600006,129.210007,128.0,128.160004,745900,127.379343
2016-04-12,128.089996,128.419998,127.309998,128.169998,659200,127.389277
2016-04-13,128.440002,128.630005,125.5,126.139999,1594000,125.371643
2016-04-14,126.160004,127.440002,125.980003,126.550003,811300,125.779149
2016-04-15,127.010002,127.290001,125.800003,126.410004,1164300,125.640003
2016-04-18,125.580002,126.620003,125.029999,126.5,786900,126.5
2016-04-19,126.57,126.919998,126.0,126.559998,674900,126.559998
2016-04-20,126.379997,126.669998,124.769997,124.800003,1125300,124.800003
2016-04-21,124.510002,124.580002,121.099998,121.129997,1309900,121.129997
