Date,Open_MJN,High_MJN,Low_MJN,Close_MJN,Volume_MJN,AdjClose_MJN
2016-02-25,72.980003,73.389999,71.580002,73.370003,1625200,72.966086
2016-02-26,73.959999,74.400002,72.760002,72.970001,1423000,72.568286
2016-02-29,73.110001,74.32,72.970001,73.760002,2384000,73.353938
2016-03-01,74.089996,74.199997,72.68,74.050003,1894000,73.642343
2016-03-02,74.019997,74.019997,72.790001,73.160004,2265200,72.757243
2016-03-03,73.32,75.860001,72.93,75.660004,2048200,75.24348
2016-03-04,75.900002,78.059998,75.300003,77.239998,2406200,76.814776
2016-03-07,76.860001,77.580002,75.739998,75.790001,1702900,75.372761
2016-03-08,75.639999,75.639999,74.139999,74.620003,1468600,74.209204
2016-03-09,74.949997,75.309998,74.449997,75.019997,1180800,74.606996
2016-03-10,74.959999,76.150002,74.620003,75.599998,1032900,75.599998
2016-03-11,76.0,76.220001,75.18,75.389999,1680000,75.389999
2016-03-14,75.389999,76.389999,75.230003,75.440002,974100,75.440002
2016-03-15,83.610001,83.849998,80.75,83.779999,10131900,83.779999
2016-03-16,83.940002,84.459999,82.440002,82.809998,3279100,82.809998
2016-03-17,82.809998,83.830002,82.040001,82.059998,2731900,82.059998
2016-03-18,81.889999,83.459999,81.5,83.269997,3160600,83.269997
2016-03-21,82.730003,82.93,81.230003,81.5,2242900,81.5
2016-03-22,81.0,81.559998,80.620003,81.010002,2249200,81.010002
2016-03-23,80.760002,81.970001,80.18,81.699997,2173300,81.699997
2016-03-24,81.07,82.040001,80.400002,81.980003,1555700,81.980003
2016-03-28,81.769997,82.790001,81.540001,82.610001,1397800,82.610001
2016-03-29,82.290001,83.989998,81.93,83.830002,1463500,83.830002
2016-03-30,83.919998,85.07,83.709999,84.989998,1714400,84.989998
2016-03-31,84.730003,85.25,84.129997,84.970001,1908800,84.970001
2016-04-01,84.699997,86.07,84.230003,86.059998,1069700,86.059998
2016-04-04,83.900002,84.839996,82.43,84.830002,2687000,84.830002
2016-04-05,84.330002,84.449997,82.959999,83.43,1187500,83.43
2016-04-06,83.269997,85.190002,83.139999,84.980003,1259200,84.980003
2016-04-07,84.089996,84.919998,83.510002,84.139999,985300,84.139999
2016-04-08,84.43,85.269997,83.93,84.57,567700,84.57
2016-04-11,84.790001,85.440002,84.419998,84.449997,862000,84.449997
2016-04-12,84.480003,84.739998,83.529999,84.309998,1384700,84.309998
2016-04-13,84.5,85.190002,83.690002,84.949997,1400900,84.949997
2016-04-14,84.849998,85.0,83.239998,83.599998,1280200,83.599998
2016-04-15,83.480003,84.309998,83.300003,84.25,1038800,84.25
2016-04-18,84.120003,84.879997,83.510002,84.25,1184600,84.25
2016-04-19,84.330002,84.900002,83.779999,84.239998,1880700,84.239998
2016-04-20,84.0,84.519997,83.739998,83.940002,1046500,83.940002
2016-04-21,84.25,84.330002,82.910004,83.010002,1334900,83.010002
2016-04-22,83.309998,84.25,83.059998,83.900002,2076700,83.900002
2016-04-25,83.779999,84.43,83.610001,84.040001,1216000,84.040001
2016-04-26,84.0,84.620003,83.5,84.309998,1734400,84.309998
2016-04-27,84.470001,85.360001,83.949997,84.93,2119300,84.93
2016-04-28,85.190002,89.440002,85.0,87.919998,3581700,87.919998
2016-04-29,87.540001,87.900002,86.089996,87.150002,2203100,87.150002
2016-05-02,87.160004,87.480003,86.400002,87.459999,2147400,87.459999
2016-05-03,86.699997,86.870003,83.860001,85.089996,2331800,85.089996
2016-05-04,84.43,85.379997,84.169998,84.870003,1202000,84.870003
2016-05-05,84.860001,86.059998,84.660004,84.919998,771800,84.919998
2016-05-06,84.660004,85.459999,84.139999,85.050003,599900,85.050003
2016-05-09,85.209999,85.389999,83.919998,84.550003,905400,84.550003
2016-05-10,85.190002,86.099998,84.910004,86.040001,1150800,86.040001
2016-05-11,85.75,86.110001,85.029999,85.059998,943600,85.059998
2016-05-12,85.489998,86.019997,84.360001,85.07,882400,85.07
2016-05-13,84.830002,85.290001,83.080002,83.709999,1278700,83.709999
2016-05-16,83.68,85.080002,83.379997,84.849998,832900,84.849998
2016-05-17,84.540001,85.059998,82.989998,83.300003,1180800,83.300003
2016-05-18,83.139999,83.489998,82.169998,82.660004,869800,82.660004
2016-05-19,82.309998,82.980003,81.690002,82.790001,959400,82.790001
2016-05-20,82.93,83.0,82.129997,82.199997,1087800,82.199997
2016-05-23,81.900002,82.589996,81.529999,82.18,1198500,82.18
2016-05-24,82.959999,83.290001,82.209999,82.459999,1206400,82.459999
2016-05-25,82.779999,83.199997,82.57,82.800003,895200,82.800003
2016-05-26,83.059998,83.400002,82.779999,82.82,1221800,82.82
2016-05-27,82.82,83.480003,82.82,83.220001,765000,83.220001
2016-05-31,83.290001,83.82,82.050003,82.279999,1727600,82.279999
2016-06-01,82.029999,83.18,82.029999,82.980003,1409200,82.980003
2016-06-02,82.669998,83.330002,82.470001,83.220001,685900,83.220001
2016-06-03,83.25,84.0,82.75,83.209999,652800,83.209999
