Date,Open_PKI,High_PKI,Low_PKI,Close_PKI,Volume_PKI,AdjClose_PKI
2015-12-11,49.73,50.599998,49.5,50.279999,656600,50.137073
2015-12-14,50.32,51.049999,50.27,51.009998,930200,50.864997
2015-12-15,51.5,51.799999,51.299999,51.389999,1022400,51.243918
2015-12-16,51.75,52.799999,51.599998,52.619999,850400,52.470421
2015-12-17,52.650002,52.82,51.93,51.939999,568700,51.792354
2015-12-18,51.689999,51.689999,50.700001,50.869999,2081400,50.725396
2015-12-21,51.470001,52.02,51.299999,51.549999,719000,51.403463
2015-12-22,51.810001,52.849998,51.540001,52.630001,454900,52.480395
2015-12-23,52.82,53.189999,52.57,53.060001,336800,52.909173
2015-12-24,53.049999,53.560001,53.029999,53.439999,159400,53.28809
2015-12-28,53.299999,53.560001,52.950001,53.540001,259900,53.387808
2015-12-29,53.75,54.52,53.740002,54.360001,367000,54.205477
2015-12-30,54.25,54.310001,53.919998,53.93,352900,53.776699
2015-12-31,53.779999,54.259998,53.560001,53.57,498900,53.417721
2016-01-04,52.790001,52.810001,51.720001,52.43,911500,52.280963
2016-01-05,52.720001,53.259998,52.490002,53.009998,726200,52.859312
2016-01-06,52.099998,52.860001,52.02,52.25,2087800,52.101474
2016-01-07,51.0,51.41,49.849998,50.060001,847800,49.917701
2016-01-08,50.27,50.75,49.27,49.32,866700,49.179802
2016-01-11,49.549999,49.759998,47.25,47.75,1677300,47.614266
2016-01-12,48.169998,48.68,47.75,48.549999,733400,48.411991
2016-01-13,48.669998,48.759998,46.84,47.09,538600,47.023943
2016-01-14,47.360001,48.490002,47.040001,48.099998,765800,48.032524
2016-01-15,46.779999,47.5,46.779999,47.41,881100,47.343493
2016-01-19,48.119999,48.119999,46.919998,47.77,622800,47.702989
2016-01-20,47.0,48.68,46.57,48.16,1034700,48.092441
2016-01-21,48.209999,48.240002,47.27,47.52,638600,47.45334
2016-01-22,48.119999,49.150002,47.75,49.130001,717500,49.061082
2016-01-25,48.849998,49.130001,48.240002,48.389999,464500,48.322118
2016-01-26,48.509998,48.970001,47.799999,48.93,613100,48.861362
2016-01-27,48.849998,49.650002,48.220001,48.610001,872700,48.541811
2016-01-28,48.59,48.59,46.599998,46.970001,1033200,46.904112
2016-01-29,47.169998,48.34,47.060001,48.32,1193700,48.252217
2016-02-01,48.110001,48.509998,47.279999,48.23,1583400,48.162343
2016-02-02,47.68,47.93,47.18,47.529999,753800,47.463324
2016-02-03,47.709999,47.709999,45.75,46.799999,1043700,46.734348
2016-02-04,46.709999,47.43,46.18,46.580002,1119400,46.51466
2016-02-05,42.459999,45.200001,39.5,43.259998,3343700,43.199313
2016-02-08,42.650002,42.98,41.02,41.450001,1330400,41.391855
2016-02-09,40.91,43.189999,40.41,42.470001,1377300,42.410425
2016-02-10,42.849998,44.970001,42.68,43.990002,1335700,43.928293
2016-02-11,43.18,43.68,42.810001,43.41,1517800,43.349105
2016-02-12,44.400002,44.59,43.59,44.41,1273000,44.347702
2016-02-16,44.98,46.09,44.810001,45.669998,1185900,45.605933
2016-02-17,45.900002,46.259998,45.599998,45.700001,1240900,45.635893
2016-02-18,45.689999,46.57,45.490002,45.68,891500,45.615921
2016-02-19,45.57,47.040001,45.43,46.970001,2934700,46.904112
2016-02-22,47.400002,47.990002,47.029999,47.790001,1200300,47.722961
2016-02-23,47.540001,48.139999,47.0,47.200001,1015900,47.133789
2016-02-24,46.75,47.669998,46.59,47.369999,892600,47.303549
2016-02-25,47.279999,47.939999,47.119999,47.619999,915000,47.553198
2016-02-26,47.73,48.299999,47.650002,47.950001,1087500,47.882737
2016-02-29,47.84,48.200001,47.259998,47.259998,937500,47.193702
2016-03-01,47.310001,47.970001,47.27,47.959999,1430900,47.892721
2016-03-02,47.91,49.450001,47.720001,49.16,1669900,49.091038
2016-03-03,49.200001,49.25,48.43,48.939999,883500,48.871346
2016-03-04,48.959999,49.240002,48.709999,48.82,739600,48.751515
2016-03-07,48.490002,49.41,48.369999,48.869999,1022800,48.801444
2016-03-08,48.650002,48.73,47.529999,47.630001,774300,47.563186
2016-03-09,47.959999,48.029999,47.560001,47.790001,913500,47.722961
2016-03-10,48.02,48.23,47.299999,47.639999,702800,47.57317
2016-03-11,48.189999,48.73,47.77,48.709999,738200,48.641669
2016-03-14,48.490002,48.75,48.110001,48.52,403400,48.451937
2016-03-15,48.110001,48.310001,47.580002,47.700001,615400,47.633087
2016-03-16,47.610001,47.990002,47.23,47.950001,752300,47.882737
2016-03-17,48.0,48.130001,47.080002,47.509998,669300,47.443352
2016-03-18,47.59,49.439999,47.470001,48.93,1395800,48.861362
2016-03-21,48.740002,48.98,48.439999,48.450001,451400,48.382035
2016-03-22,48.099998,48.970001,47.990002,48.68,420600,48.611712
2016-03-23,48.790001,49.07,48.599998,48.650002,841400,48.581756
2016-03-24,48.490002,48.709999,47.990002,48.419998,423700,48.352075
2016-03-28,48.560001,48.669998,47.799999,48.299999,696400,48.232244
2016-03-29,48.360001,49.389999,48.189999,49.330002,625300,49.260802
2016-03-30,49.669998,49.91,49.220001,49.34,403000,49.270786
2016-03-31,49.209999,49.91,48.990002,49.459999,684100,49.390617
2016-04-01,49.029999,50.459999,48.970001,50.34,596800,50.269383
2016-04-04,50.290001,50.990002,50.049999,50.16,636500,50.089636
2016-04-05,49.130001,49.5,48.470001,48.580002,848300,48.511854
2016-04-06,48.66,50.279999,48.639999,50.27,630400,50.199482
2016-04-07,49.959999,50.18,49.049999,49.259998,811100,49.190897
2016-04-08,49.91,50.299999,49.509998,50.0,543500,49.92986
2016-04-11,50.290001,50.549999,49.759998,49.799999,370400,49.73014
2016-04-12,49.799999,50.34,49.759998,49.900002,327800,49.830002
2016-04-13,50.150002,50.869999,49.77,50.709999,549900,50.709999
2016-04-14,50.91,51.220001,50.560001,50.639999,402800,50.639999
2016-04-15,50.68,50.939999,50.349998,50.880001,416900,50.880001
2016-04-18,50.790001,51.419998,50.650002,51.330002,358200,51.330002
2016-04-19,51.150002,51.369999,50.639999,50.740002,458000,50.740002
2016-04-20,50.66,51.48,50.369999,51.349998,437400,51.349998
2016-04-21,51.349998,51.779999,50.970001,51.419998,270300,51.419998
2016-04-22,51.509998,51.75,51.189999,51.59,308200,51.59
2016-04-25,51.189999,51.630001,51.029999,51.41,291100,51.41
2016-04-26,51.529999,51.529999,50.75,50.959999,484500,50.959999
2016-04-27,50.959999,51.66,50.630001,51.459999,465300,51.459999
2016-04-28,51.139999,51.599998,50.639999,50.84,279200,50.84
2016-04-29,50.459999,50.529999,49.77,50.419998,503300,50.419998
2016-05-02,50.66,51.689999,50.299999,51.66,409500,51.66
2016-05-03,51.209999,51.439999,50.540001,51.41,696200,51.41
2016-05-04,51.049999,51.200001,50.119999,50.23,722400,50.23
2016-05-05,50.25,50.779999,50.060001,50.759998,636400,50.759998
2016-05-06,51.880001,55.0,51.880001,54.23,1592800,54.23
2016-05-09,54.369999,54.970001,53.900002,53.959999,729900,53.959999
2016-05-10,54.060001,54.950001,53.18,54.91,703200,54.91
2016-05-11,54.740002,55.060001,53.93,54.48,636100,54.48
2016-05-12,54.52,54.639999,53.91,54.48,442600,54.48
2016-05-13,54.299999,55.060001,54.0,54.450001,515000,54.450001
2016-05-16,54.560001,55.060001,54.549999,54.950001,544400,54.950001
2016-05-17,54.919998,54.98,54.119999,54.419998,546500,54.419998
2016-05-18,54.439999,54.650002,53.790001,54.23,1606400,54.23
2016-05-19,53.799999,54.02,53.169998,53.970001,695300,53.970001
2016-05-20,54.380001,54.43,53.599998,53.950001,842900,53.950001
2016-05-23,54.040001,54.279999,53.799999,53.900002,366300,53.900002
2016-05-24,54.200001,55.16,53.950001,54.98,815600,54.98
2016-05-25,55.299999,56.07,55.029999,55.560001,837100,55.560001
2016-05-26,55.549999,56.119999,54.919998,54.970001,748800,54.970001
2016-05-27,54.98,55.240002,54.689999,54.990002,935100,54.990002
2016-05-31,55.119999,55.189999,54.630001,54.75,794500,54.75
2016-06-01,54.52,54.889999,54.380001,54.82,1173800,54.82
2016-06-02,54.810001,55.119999,54.459999,54.919998,706600,54.919998
2016-06-03,54.799999,54.799999,54.009998,54.580002,516200,54.580002
