Date,Open_VMC,High_VMC,Low_VMC,Close_VMC,Volume_VMC,AdjClose_VMC
2016-04-12,106.480003,106.900002,105.769997,106.540001,1101300,106.358764
2016-04-13,107.440002,107.57,105.050003,106.779999,1410500,106.598354
2016-04-14,107.0,107.0,106.120003,106.580002,824300,106.398697
2016-04-15,106.639999,107.110001,106.269997,107.0,548400,106.817981
2016-04-18,106.769997,108.339996,106.489998,108.080002,412000,107.896145
2016-04-19,108.309998,108.919998,107.220001,107.809998,641700,107.6266
2016-04-20,107.550003,109.599998,107.120003,108.709999,852200,108.525071
2016-04-21,109.239998,109.599998,107.879997,107.959999,642700,107.776347
2016-04-22,108.239998,109.43,107.889999,108.889999,622400,108.704765
2016-04-25,108.839996,109.160004,108.330002,109.059998,505300,108.874474
2016-04-26,109.550003,109.940002,108.290001,109.209999,702300,109.02422
2016-04-27,109.43,111.150002,109.260002,110.839996,669000,110.651445
2016-04-28,109.879997,110.959999,108.550003,108.68,1003600,108.495123
2016-04-29,108.190002,108.43,106.470001,107.629997,1006400,107.446906
2016-05-02,108.260002,109.480003,107.559998,109.059998,975200,108.874474
2016-05-03,111.699997,114.209999,109.360001,113.730003,2746700,113.536535
2016-05-04,113.400002,114.110001,109.620003,112.260002,2293700,112.069035
2016-05-05,113.279999,114.519997,112.199997,114.5,1441300,114.305222
2016-05-06,114.25,114.849998,112.510002,114.43,970900,114.235342
2016-05-09,114.25,115.93,114.099998,115.57,760000,115.373402
2016-05-10,115.989998,117.690002,115.309998,117.589996,1024400,117.389962
2016-05-11,117.290001,118.0,115.150002,115.230003,840100,115.033984
2016-05-12,116.019997,117.120003,114.919998,116.120003,841900,115.922469
2016-05-13,115.75,116.57,115.160004,115.639999,594300,115.443282
2016-05-16,116.43,117.57,116.080002,116.139999,846200,115.942432
2016-05-17,115.879997,116.480003,114.830002,115.650002,734800,115.453267
2016-05-18,115.199997,116.559998,114.870003,115.510002,496400,115.313506
2016-05-19,114.629997,114.870003,113.349998,113.889999,951200,113.696259
2016-05-20,114.650002,116.18,114.629997,115.75,1134400,115.553096
2016-05-23,115.800003,118.099998,115.800003,117.57,800500,117.369999
2016-05-24,118.470001,120.099998,117.559998,119.129997,941400,119.129997
2016-05-25,119.309998,120.309998,119.309998,120.07,664700,120.07
2016-05-26,120.07,120.400002,118.790001,119.260002,974000,119.260002
2016-05-27,119.199997,119.32,117.75,118.120003,1020800,118.120003
2016-05-31,118.150002,118.459999,115.889999,116.75,883300,116.75
2016-06-01,116.010002,117.68,115.730003,117.019997,847300,117.019997
2016-06-02,116.25,116.610001,114.669998,115.510002,1202400,115.510002
2016-06-03,115.510002,116.029999,114.25,115.699997,723400,115.699997
