Date,Open_MPC,High_MPC,Low_MPC,Close_MPC,Volume_MPC,AdjClose_MPC
2015-11-05,55.200001,55.919998,54.549999,55.650002,5881400,54.250474
2015-11-06,55.450001,56.040001,55.07,55.970001,3043300,54.562426
2015-11-09,55.950001,56.48,54.240002,54.32,3187300,52.95392
2015-11-10,54.32,55.029999,53.830002,54.77,2645100,53.392603
2015-11-11,55.09,55.869999,54.450001,54.849998,3078200,53.47059
2015-11-12,54.07,55.099998,53.130001,54.709999,5816900,53.334111
2015-11-13,54.630001,55.049999,53.560001,53.68,4016900,52.330015
2015-11-16,53.5,53.919998,52.599998,53.77,4258500,52.732102
2015-11-17,53.650002,54.740002,53.380001,54.259998,4277400,53.212642
2015-11-18,54.27,55.759998,54.0,55.68,3395700,54.605234
2015-11-19,55.5,56.040001,55.09,55.810001,3560000,54.732726
2015-11-20,55.970001,56.369999,55.73,55.93,3573800,54.850409
2015-11-23,54.779999,56.48,54.580002,56.41,5128700,55.321143
2015-11-24,56.349998,57.66,56.080002,57.189999,3290600,56.086086
2015-11-25,57.549999,59.330002,57.080002,58.049999,6586000,56.929486
2015-11-27,57.470001,58.919998,57.41,58.57,1718100,57.43945
2015-11-30,58.66,59.290001,58.040001,58.41,5534800,57.282538
2015-12-01,58.82,59.540001,58.029999,59.34,4660800,58.194587
2015-12-02,59.110001,59.990002,57.529999,58.009998,5086600,56.890258
2015-12-03,58.240002,58.52,54.32,54.439999,9487600,53.389168
2015-12-04,54.830002,56.310001,54.400002,55.630001,7325200,54.5562
2015-12-07,54.880001,55.549999,52.560001,53.689999,7250600,52.653645
2015-12-08,52.82,53.529999,52.52,52.73,4990900,51.712176
2015-12-09,52.540001,53.049999,50.779999,51.98,7146500,50.976653
2015-12-10,52.240002,53.23,51.630001,52.349998,4236100,51.33951
2015-12-11,51.490002,51.779999,49.43,49.619999,6665200,48.662207
2015-12-14,49.290001,49.419998,47.580002,47.990002,9474200,47.063672
2015-12-15,48.959999,49.740002,48.349998,49.16,9237900,48.211087
2015-12-16,49.0,49.98,48.810001,49.700001,6943500,48.740664
2015-12-17,49.93,51.900002,49.869999,51.32,6733900,50.329393
2015-12-18,51.349998,51.639999,50.27,50.349998,8334100,49.378115
2015-12-21,50.580002,51.419998,50.23,51.400002,5264600,50.407851
2015-12-22,51.790001,52.450001,51.279999,51.599998,4619200,50.603987
2015-12-23,52.02,52.73,51.529999,52.709999,4457700,51.692562
2015-12-24,52.450001,53.080002,51.93,52.639999,1372100,51.623913
2015-12-28,52.09,52.25,51.110001,51.599998,2325800,50.603987
2015-12-29,52.34,52.509998,51.799999,52.16,1927800,51.153179
2015-12-30,51.93,53.18,51.849998,52.299999,2757700,51.290476
2015-12-31,51.990002,52.560001,51.360001,51.84,2567900,50.839356
2016-01-04,51.68,52.830002,50.66,51.240002,5497300,50.250939
2016-01-05,51.400002,52.220001,50.040001,50.599998,5485100,49.62329
2016-01-06,49.299999,49.790001,47.93,48.720001,7328500,47.779581
2016-01-07,47.84,48.860001,47.290001,47.990002,7563500,47.063672
2016-01-08,48.34,48.549999,46.139999,46.189999,5026000,45.298414
2016-01-11,46.439999,46.970001,44.290001,45.720001,7508700,44.837489
2016-01-12,46.209999,47.080002,45.119999,46.389999,4931900,45.494554
2016-01-13,46.709999,46.77,41.849998,42.279999,9902200,41.463887
2016-01-14,42.560001,44.189999,41.130001,43.66,9076000,42.817251
2016-01-15,41.860001,42.75,41.040001,41.419998,7876100,40.620487
2016-01-19,42.400002,42.970001,40.450001,41.200001,5665000,40.404736
2016-01-20,40.169998,41.139999,38.950001,40.5,7634200,39.718247
2016-01-21,40.029999,40.75,39.119999,39.610001,7611500,38.845427
2016-01-22,40.689999,43.98,40.5,42.830002,9569600,42.003274
2016-01-25,42.169998,43.23,40.669998,40.77,5836500,39.983036
2016-01-26,41.080002,41.580002,40.369999,41.560001,5022200,40.757787
2016-01-27,41.57,41.860001,39.529999,39.860001,8433200,39.090601
2016-01-28,41.139999,41.48,39.5,40.220001,4811000,39.443653
2016-01-29,40.560001,41.790001,39.849998,41.790001,7007500,40.983347
2016-02-01,41.650002,42.200001,40.799999,41.77,6672100,40.963733
2016-02-02,41.07,41.380001,39.75,40.27,6799400,39.492687
2016-02-03,39.799999,40.07,35.400002,37.200001,15690000,36.481946
2016-02-04,36.98,37.34,34.119999,34.939999,17638100,34.265568
2016-02-05,34.540001,34.650002,32.040001,32.299999,15529700,31.676527
2016-02-08,31.85,31.85,29.709999,30.73,17273000,30.136832
2016-02-09,30.290001,31.83,29.24,31.4,16889100,30.7939
2016-02-10,31.620001,32.669998,31.139999,31.67,9776500,31.058688
2016-02-11,30.969999,31.379999,29.25,30.83,11198900,30.234902
2016-02-12,30.860001,31.950001,30.6,31.73,7304200,31.443902
2016-02-16,32.310001,32.73,31.639999,32.540001,7469700,32.2466
2016-02-17,32.860001,33.18,32.389999,32.959999,7617700,32.662811
2016-02-18,33.509998,33.560001,30.82,31.370001,7977300,31.087149
2016-02-19,30.93,31.6,30.639999,31.59,5887600,31.305165
2016-02-22,31.790001,33.450001,31.77,33.380001,6627200,33.079026
2016-02-23,33.119999,33.48,31.59,31.610001,6632400,31.324985
2016-02-24,31.15,34.09,30.950001,33.970001,9142100,33.663706
2016-02-25,33.880001,34.439999,33.130001,34.220001,6777500,33.911452
2016-02-26,34.709999,35.459999,34.040001,34.220001,5919300,33.911452
2016-02-29,34.330002,34.950001,34.119999,34.25,7611800,33.94118
2016-03-01,34.23,34.849998,34.029999,34.630001,7681600,34.317755
2016-03-02,34.59,35.080002,33.889999,34.709999,5810900,34.397032
2016-03-03,36.130001,37.459999,35.419998,37.32,9908200,36.983499
2016-03-04,37.959999,37.959999,36.450001,37.060001,7528500,36.725845
2016-03-07,37.080002,37.439999,35.900002,36.860001,6840400,36.527648
2016-03-08,37.07,37.240002,35.119999,35.169998,7230600,34.852883
