Date,Open_TAP,High_TAP,Low_TAP,Close_TAP,Volume_TAP,AdjClose_TAP
2016-02-18,86.0,86.099998,84.660004,84.730003,2149300,83.990589
2016-02-19,84.730003,85.599998,84.239998,85.550003,1383600,84.803432
2016-02-22,85.550003,86.989998,85.550003,86.830002,1506500,86.072261
2016-02-23,86.43,87.419998,85.230003,85.599998,1700000,84.852992
2016-02-24,85.139999,86.260002,84.639999,86.139999,1207100,85.38828
2016-02-25,85.800003,86.650002,85.190002,86.629997,1068300,85.874002
2016-02-26,86.610001,86.879997,85.029999,85.190002,1225500,84.446573
2016-02-29,85.150002,86.440002,84.940002,85.269997,2843000,84.52587
2016-03-01,86.089996,86.970001,85.589996,86.540001,1302800,85.784791
2016-03-02,86.150002,86.660004,85.43,86.629997,1487300,85.874002
2016-03-03,86.400002,88.540001,86.120003,88.540001,1812900,88.184695
2016-03-04,88.989998,90.349998,88.809998,90.220001,2076600,89.857954
2016-03-07,89.949997,90.650002,89.010002,89.330002,1516100,88.971526
2016-03-08,88.800003,89.160004,88.029999,88.400002,969100,88.045257
2016-03-09,88.599998,90.529999,88.239998,90.379997,1395100,90.017308
2016-03-10,90.779999,91.919998,90.330002,91.809998,1685600,91.441569
2016-03-11,91.989998,92.760002,91.120003,92.459999,1975900,92.088962
2016-03-14,92.169998,92.699997,90.330002,92.5,1330600,92.128803
2016-03-15,92.349998,92.949997,92.010002,92.800003,1090500,92.427602
2016-03-16,92.25,93.379997,91.900002,93.190002,1255700,92.816036
2016-03-17,93.370003,94.610001,93.370003,94.43,1163700,94.051058
2016-03-18,94.43,94.489998,93.120003,93.459999,2440900,93.084949
2016-03-21,93.709999,93.760002,92.610001,93.519997,1128000,93.144706
2016-03-22,93.559998,94.919998,93.080002,94.830002,1414700,94.449455
2016-03-23,94.830002,95.709999,94.32,95.519997,1690500,95.13668
2016-03-24,94.629997,95.32,94.559998,95.309998,1228500,94.927524
2016-03-28,95.300003,96.199997,94.940002,95.400002,1005000,95.017167
2016-03-29,95.050003,96.120003,94.879997,96.110001,1210100,95.724317
2016-03-30,96.75,97.0,95.910004,96.07,908500,95.684476
2016-03-31,95.900002,96.940002,95.599998,96.18,1530100,95.794036
2016-04-01,95.459999,97.029999,95.290001,96.949997,1339600,96.560942
2016-04-04,96.709999,97.25,95.68,96.010002,1400300,95.62472
2016-04-05,95.120003,95.25,93.550003,93.980003,1494500,93.602867
