Date,Open_TJX,High_TJX,Low_TJX,Close_TJX,Volume_TJX,AdjClose_TJX
2015-12-02,70.809998,71.400002,70.5,70.730003,2912600,70.275932
2015-12-03,70.809998,71.0,69.25,69.839996,3804700,69.391639
2015-12-04,70.230003,71.059998,69.889999,70.989998,4415400,70.534258
2015-12-07,70.68,71.120003,70.279999,70.980003,2393900,70.524328
2015-12-08,69.970001,71.550003,69.970001,71.330002,3749800,70.872079
2015-12-09,70.660004,72.209999,69.559998,70.809998,3693400,70.355413
2015-12-10,71.029999,72.220001,70.839996,71.480003,3412300,71.021118
2015-12-11,70.589996,71.139999,70.18,70.559998,3286800,70.107018
2015-12-14,70.699997,71.559998,70.419998,70.93,3411300,70.474645
2015-12-15,71.599998,71.980003,70.410004,70.449997,2995200,69.997724
2015-12-16,71.25,71.989998,70.620003,71.849998,2923500,71.388737
2015-12-17,72.449997,72.739998,70.629997,70.650002,3270200,70.196444
2015-12-18,70.599998,70.620003,69.290001,69.32,4975900,68.874981
2015-12-21,69.669998,70.150002,69.099998,69.610001,2607200,69.16312
2015-12-22,70.07,70.809998,69.720001,70.400002,3032600,69.948049
2015-12-23,70.93,71.32,69.959999,71.300003,1899000,70.842273
2015-12-24,70.989998,71.290001,70.620003,70.889999,885800,70.434901
2015-12-28,70.650002,71.199997,70.349998,70.669998,1799600,70.216312
2015-12-29,71.139999,72.260002,70.949997,71.760002,1779300,71.299319
2015-12-30,71.730003,71.93,71.330002,71.360001,1393500,70.901885
2015-12-31,71.010002,71.650002,70.889999,70.910004,1796000,70.454777
2016-01-04,69.889999,70.870003,69.57,70.830002,3758800,70.375289
2016-01-05,70.839996,71.980003,70.580002,71.940002,4213200,71.478164
2016-01-06,70.68,71.389999,69.610001,70.089996,4453600,69.640034
2016-01-07,69.0,70.82,69.0,69.989998,4826800,69.540678
2016-01-08,70.230003,70.489998,66.760002,66.93,6094300,66.500325
2016-01-11,67.099998,68.080002,67.0,67.800003,3868000,67.364742
2016-01-12,68.809998,69.709999,68.010002,68.919998,2774500,68.477547
2016-01-13,69.220001,69.239998,67.639999,67.690002,3084900,67.255448
2016-01-14,67.699997,69.239998,66.989998,68.470001,3371700,68.030439
2016-01-15,66.489998,67.980003,66.489998,67.510002,3923200,67.076603
2016-01-19,68.169998,68.669998,67.419998,68.139999,3281300,67.702556
2016-01-20,67.349998,68.099998,65.639999,67.449997,3749100,67.016983
2016-01-21,67.300003,68.18,66.779999,67.849998,3822100,67.414417
2016-01-22,68.720001,69.779999,68.589996,68.949997,3325000,68.507353
2016-01-25,69.07,69.32,68.230003,68.760002,2408800,68.318578
2016-01-26,68.870003,70.160004,68.639999,69.690002,2226800,69.242608
2016-01-27,69.699997,70.400002,68.839996,69.190002,2242200,68.745818
2016-01-28,69.550003,69.610001,68.769997,69.389999,1910500,68.944531
2016-01-29,69.870003,71.540001,69.510002,71.239998,4048500,70.782653
2016-02-01,70.940002,72.489998,70.470001,72.209999,3186300,71.746427
2016-02-02,72.910004,73.379997,72.309998,72.849998,3616300,72.382318
2016-02-03,73.150002,73.290001,71.0,71.980003,3161500,71.517908
2016-02-04,70.870003,71.519997,69.720001,70.760002,3125400,70.305739
2016-02-05,71.309998,71.529999,67.900002,67.959999,4602600,67.523711
2016-02-08,67.470001,68.300003,66.82,68.019997,4369800,67.583323
2016-02-09,67.529999,70.220001,67.519997,69.650002,4565700,69.417179
2016-02-10,70.25,70.970001,69.279999,69.379997,2697400,69.148077
2016-02-11,68.169998,69.400002,67.410004,67.910004,3591100,67.682998
2016-02-12,68.82,69.940002,67.809998,69.870003,3219000,69.636445
2016-02-16,71.040001,71.82,70.330002,71.370003,3925200,71.131431
2016-02-17,71.599998,72.370003,71.389999,71.790001,3428300,71.550025
