Date,Open_HAL,High_HAL,Low_HAL,Close_HAL,Volume_HAL,AdjClose_HAL
2015-11-02,38.209999,39.439999,38.18,39.290001,9822700,38.733751
2015-11-03,39.470001,40.310001,39.299999,40.049999,14462900,39.48299
2015-11-04,40.0,40.139999,38.68,39.209999,14661600,38.654882
2015-11-05,38.82,39.52,38.169998,38.41,15071000,37.866209
2015-11-06,37.900002,39.389999,37.77,39.349998,12261000,38.7929
2015-11-09,39.040001,39.459999,38.599998,39.099998,8446100,38.546439
2015-11-10,39.02,39.490002,38.650002,38.91,8684300,38.35913
2015-11-11,38.84,38.84,37.439999,38.099998,10686300,37.560596
2015-11-12,37.450001,38.330002,37.18,37.490002,8940600,36.959236
2015-11-13,37.299999,38.049999,36.77,37.389999,9423100,36.860649
2015-11-16,37.43,38.59,37.169998,38.490002,9486500,37.945078
2015-11-17,38.43,38.57,38.02,38.110001,11371700,37.570457
2015-11-18,38.400002,39.25,38.299999,38.880001,13758200,38.329556
2015-11-19,38.549999,39.07,37.849998,38.040001,8808600,37.501448
2015-11-20,38.150002,38.32,37.549999,38.0,9753800,37.462014
2015-11-23,37.709999,38.450001,37.580002,38.349998,6498600,37.807057
2015-11-24,38.630001,40.240002,38.549999,39.740002,11009900,39.177381
2015-11-25,39.330002,40.0,39.009998,39.310001,5823400,38.753469
2015-11-27,38.93,39.349998,38.759998,39.130001,3766800,38.576017
2015-11-30,39.240002,40.150002,39.080002,39.849998,11273700,39.285821
2015-12-01,39.5,40.419998,39.400002,40.400002,9062000,40.008752
2015-12-02,39.880001,40.52,38.900002,38.950001,13468900,38.572794
2015-12-03,39.240002,39.380001,37.610001,38.009998,14444100,37.641895
2015-12-04,37.509998,38.040001,36.91,37.900002,13030400,37.532963
2015-12-07,36.990002,37.099998,35.889999,36.57,18434900,36.215842
2015-12-08,35.709999,37.369999,35.580002,36.27,16871100,35.918748
2015-12-09,36.599998,38.310001,36.48,38.299999,21179000,37.929087
2015-12-10,38.009998,38.779999,37.68,38.150002,15317800,37.780542
2015-12-11,37.740002,37.889999,36.889999,36.959999,13094000,36.602064
2015-12-14,36.830002,37.450001,36.029999,36.549999,20102700,36.196035
2015-12-15,37.080002,39.669998,35.5,37.099998,24575700,36.740708
