Date,Open_STX,High_STX,Low_STX,Close_STX,Volume_STX,AdjClose_STX
2016-03-31,33.98,34.630001,33.889999,34.450001,2741200,33.365368
2016-04-01,33.900002,34.119999,33.34,33.689999,4555700,32.629294
2016-04-04,33.669998,33.84,33.23,33.549999,2313200,32.493703
2016-04-05,33.27,33.400002,32.650002,32.860001,3464300,31.825428
2016-04-06,32.860001,33.720001,32.009998,33.720001,3526000,32.658352
2016-04-07,33.299999,33.599998,32.650002,33.110001,3183000,32.067557
2016-04-08,33.389999,34.119999,33.080002,33.23,2972900,32.183778
2016-04-11,34.349998,35.790001,34.209999,34.98,7545200,33.878681
2016-04-12,34.939999,35.18,34.029999,35.040001,4681500,33.936793
2016-04-13,34.73,35.130001,33.849998,33.93,7300200,32.86174
2016-04-14,29.67,29.85,26.93,27.110001,48458900,26.256463
2016-04-15,26.969999,27.120001,25.540001,25.59,19415600,24.784318
2016-04-18,25.51,26.27,25.139999,25.780001,10781300,24.968337
2016-04-19,25.84,26.120001,25.18,25.33,8957100,24.532504
2016-04-20,25.43,26.01,25.219999,25.67,8669500,24.861799
2016-04-21,25.74,25.959999,25.23,25.43,8587500,24.629356
2016-04-22,25.48,25.74,25.01,25.32,7220700,24.522819
2016-04-25,25.33,26.379999,25.26,26.290001,7857800,25.46228
2016-04-26,26.540001,27.1,26.440001,27.0,7447600,26.149925
2016-04-27,27.0,27.389999,26.5,27.34,7210200,26.479221
2016-04-28,27.139999,27.59,26.790001,26.9,7380400,26.053073
2016-04-29,26.17,26.219999,21.610001,21.77,24443200,21.084588
2016-05-02,21.139999,21.16,20.209999,20.48,18806300,19.835202
2016-05-03,20.379999,20.469999,19.299999,19.440001,13705500,18.827947
2016-05-04,19.809999,20.48,19.75,20.15,11682900,19.515592
2016-05-05,20.200001,20.42,19.9,20.01,7901700,19.38
2016-05-06,19.34,19.4,18.809999,19.07,8448600,19.07
2016-05-09,19.120001,19.290001,18.709999,18.860001,8923000,18.860001
2016-05-10,18.75,19.379999,18.59,19.25,6098600,19.25
2016-05-11,19.200001,19.450001,18.690001,18.719999,5389400,18.719999
2016-05-12,18.860001,18.870001,18.42,18.790001,10122100,18.790001
2016-05-13,18.719999,19.469999,18.629999,19.09,6501700,19.09
